hour,de_demand
1,45423000000
2,44958000000
3,43357000000
4,41577000000
5,40239000000
6,39146000000
7,37415000000
8,36844000000
9,37079000000
10,38899000000
11,40984000000
12,43556000000
13,45168000000
14,45006000000
15,44513000000
16,44689000000
17,47069000000
18,50440000000
19,51420000000
20,50351000000
21,48600000000
22,47511000000
23,48469000000
24,46351000000
25,43731000000
26,41647000000
27,40550000000
28,39944000000
29,39962000000
30,39604000000
31,39023000000
32,41494000000
33,44873000000
34,48209000000
35,50078000000
36,51656000000
37,52257000000
38,51440000000
39,50802000000
40,50959000000
41,52592000000
42,57243000000
43,57623000000
44,56395000000
45,53209000000
46,51751000000
47,52337000000
48,50131000000
49,47263000000
50,45232000000
51,43657000000
52,42125000000
53,41626000000
54,40730000000
55,39329000000
56,40137000000
57,41573000000
58,43922000000
59,46302000000
60,48891000000
61,49692000000
62,48422000000
63,47521000000
64,47382000000
65,49893000000
66,54129000000
67,55223000000
68,54069000000
69,51966000000
70,51092000000
71,52157000000
72,49795000000
73,47204000000
74,44941000000
75,43753000000
76,43205000000
77,43571000000
78,44570000000
79,48193000000
80,53556000000
81,56857000000
82,58919000000
83,60324000000
84,61495000000
85,61932000000
86,61270000000
87,60665000000
88,60261000000
89,61349000000
90,65184000000
91,64950000000
92,63907000000
93,60948000000
94,59205000000
95,58347000000
96,55551000000
97,53297000000
98,51163000000
99,49721000000
100,48922000000
101,49203000000
102,50640000000
103,54785000000
104,60992000000
105,63970000000
106,64783000000
107,65411000000
108,66271000000
109,66488000000
110,66132000000
111,65248000000
112,64694000000
113,65363000000
114,68283000000
115,68976000000
116,67865000000
117,64787000000
118,61942000000
119,60837000000
120,56903000000
121,53995000000
122,51815000000
123,50321000000
124,49454000000
125,49559000000
126,50533000000
127,54066000000
128,59468000000
129,61945000000
130,62833000000
131,63884000000
132,64938000000
133,64994000000
134,64128000000
135,63125000000
136,62716000000
137,63390000000
138,66524000000
139,67648000000
140,66439000000
141,63308000000
142,61222000000
143,60573000000
144,57111000000
145,54061000000
146,51688000000
147,50290000000
148,49504000000
149,50040000000
150,52251000000
151,57664000000
152,64486000000
153,66659000000
154,66796000000
155,67289000000
156,67868000000
157,67812000000
158,67186000000
159,66318000000
160,66071000000
161,66256000000
162,69530000000
163,70325000000
164,69366000000
165,66340000000
166,63738000000
167,62153000000
168,58461000000
169,55341000000
170,53153000000
171,51585000000
172,50510000000
173,50897000000
174,52784000000
175,57548000000
176,64071000000
177,66313000000
178,66785000000
179,67401000000
180,68027000000
181,68069000000
182,66788000000
183,65745000000
184,65066000000
185,65664000000
186,69108000000
187,69571000000
188,67826000000
189,64220000000
190,61985000000
191,61411000000
192,58556000000
193,56357000000
194,54357000000
195,52955000000
196,51845000000
197,51403000000
198,50970000000
199,50405000000
200,52576000000
201,55607000000
202,58712000000
203,60814000000
204,62197000000
205,62602000000
206,61571000000
207,59878000000
208,59388000000
209,60229000000
210,63236000000
211,64299000000
212,62678000000
213,59335000000
214,57697000000
215,57941000000
216,56065000000
217,53311000000
218,51000000000
219,49590000000
220,48107000000
221,47138000000
222,45745000000
223,43458000000
224,44170000000
225,46722000000
226,49746000000
227,51746000000
228,54398000000
229,54543000000
230,52611000000
231,51258000000
232,50884000000
233,51949000000
234,56620000000
235,59123000000
236,58793000000
237,56553000000
238,55160000000
239,56106000000
240,53812000000
241,51530000000
242,49510000000
243,48602000000
244,48104000000
245,48616000000
246,50866000000
247,57089000000
