hour,nl_demand
1,11081
2,10752
3,10172
4,9581
5,9206
6,9139
7,9318
8,9610
9,9891
10,10251
11,10912
12,11450
13,11681
14,11708
15,11653
16,11598
17,11951
18,13422
19,13841
20,13744
21,13483
22,12968
23,12239
24,11335
25,10383
26,9644
27,9307
28,9168
29,9183
30,9310
31,9769
32,10555
33,11595
34,12777
35,13533
36,13830
37,13878
38,13733
39,13604
40,13464
41,13998
42,15116
43,15027
44,14663
45,14043
46,13181
47,12484
48,11615
49,10731
50,9838
51,9280
52,9072
53,9082
54,9137
55,9386
56,9798
57,10456
58,11176
59,11864
60,12305
61,12533
62,12440
63,12308
64,12210
65,12606
66,14437
67,14757
68,14646
69,14185
70,13419
71,12511
72,11311
73,10347
74,9758
75,9577
76,9562
77,9670
78,10102
79,11542
80,13992
81,15634
82,16135
83,16348
84,16526
85,16385
86,16494
87,16397
88,16302
89,16553
90,17353
91,16780
92,16508
93,15699
94,14806
95,13568
96,12361
97,11102
98,10343
99,10035
100,9946
101,9972
102,10392
103,11729
104,14151
105,15853
106,16339
107,16498
108,16516
109,16271
110,16339
111,16077
112,15984
113,16220
114,17258
115,16717
116,16289
117,15486
118,14633
119,13506
120,12358
121,11129
122,10355
123,10066
124,10000
125,10046
126,10444
127,11833
128,14439
129,16125
130,16590
131,16694
132,16673
133,16388
134,16425
135,16309
136,16245
137,16472
138,17518
139,16848
140,16338
141,15556
142,14699
143,13602
144,12534
145,11311
146,10543
147,10183
148,10111
149,10169
150,10518
151,11926
152,14433
153,16148
154,16629
155,16638
156,16703
157,16460
158,16401
159,16281
160,16187
161,16399
162,17487
163,17143
164,16722
165,16049
166,14983
167,13791
168,12751
169,11579
170,10789
171,10459
172,10366
173,10431
174,10784
175,12095
176,14578
177,16264
178,16825
179,17007
180,16985
181,16643
182,16562
183,16384
184,16028
185,16037
186,17184
187,16833
188,16275
189,15482
190,14524
191,13610
192,12732
193,11620
194,10833
195,10339
196,10138
197,10045
198,10100
199,10532
200,11455
201,12684
202,13771
203,14483
204,14727
205,14751
206,14576
207,14385
208,14223
209,14516
210,15672
211,15562
212,15085
213,14302
214,13450
215,12814
216,11988
217,11026
218,10296
219,9808
220,9609
221,9519
222,9537
223,9721
224,10223
225,11060
226,11858
227,12603
228,13047
229,13301
230,13250
