hour,nl_node
1,0.000000861
2,0
3,0
4,0
5,0
6,0.0014102
7,0.0028204
8,0.0042305
9,0.0243235
10,0.0444164
11,0.0645094
12,0.0681115
13,0.0717137
14,0.0753158
15,0.0576842
16,0.0400526
17,0.0224209
18,0.0149977
19,0.0075745
20,0.0001513
21,0.0001009
22,0.0000504
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0.0010738
31,0.0021475
32,0.0032213
33,0.0165078
34,0.0297944
35,0.0430809
36,0.0432523
37,0.0434237
38,0.0435951
39,0.0329018
40,0.0222084
41,0.0115151
42,0.0076906
43,0.0038662
44,0.0000418
45,0.0000287
46,0.0000156
47,0.00000258
48,0.00000172
49,0.000000861
50,0
51,0
52,0
53,0
54,0.001359
55,0.002718
56,0.004077
57,0.0255233
58,0.0469695
59,0.0684158
60,0.0727478
61,0.0770798
62,0.0814119
63,0.062447
64,0.0434821
65,0.0245172
66,0.0164011
67,0.008285
68,0.0001689
69,0.0001177
70,0.0000665
71,0.0000154
72,0.0000128
73,0.0000103
74,0.00000775
75,0.00000516
76,0.00000258
77,0
78,0.0017162
79,0.0034325
80,0.0051487
81,0.0269861
82,0.0488234
83,0.0706608
84,0.0700934
85,0.0695261
86,0.0689587
87,0.0518631
88,0.0347675
89,0.0176719
90,0.0118159
91,0.0059598
92,0.0001038
93,0.0000692
94,0.0000346
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0.0004449
103,0.0008898
104,0.0013348
105,0.0096276
106,0.0179204
107,0.0262132
108,0.0297313
109,0.0332493
110,0.0367673
111,0.0286032
112,0.020439
113,0.0122749
114,0.008222
115,0.0041691
116,0.0001162
117,0.0000778
118,0.0000394
119,0.00000103
120,0.000000689
121,0.000000344
122,0
123,0
124,0
125,0
126,0.0009349
127,0.0018698
128,0.0028047
129,0.0179459
130,0.0330871
131,0.0482283
132,0.0550295
133,0.0618307
134,0.0686319
135,0.05339
136,0.0381481
137,0.0229063
138,0.0153039
139,0.0077015
140,0.0000991
141,0.0000661
142,0.000033
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0.0010772
151,0.0021543
152,0.0032315
153,0.0206149
154,0.0379982
155,0.0553816
156,0.0616519
157,0.0679222
158,0.0741926
159,0.0575091
160,0.0408257
161,0.0241423
162,0.016161
163,0.0081796
164,0.0001983
165,0.0001356
166,0.0000729
167,0.0000102
168,0.00000855
169,0.00000685
170,0.00000516
171,0.00000344
172,0.00000172
173,0
174,0.0016644
175,0.0033287
176,0.0049931
177,0.0278044
178,0.0506156
179,0.0734268
180,0.0788761
181,0.0843254
182,0.0897746
183,0.0690627
184,0.0483508
185,0.0276388
186,0.0184923
187,0.0093458
188,0.0001993
189,0.0001346
190,0.0000699
191,0.00000512
192,0.00000427
193,0.00000343
194,0.00000258
195,0.00000172
196,0.000000861
197,0
198,0.0009622
199,0.0019244
200,0.0028866
201,0.0163857
202,0.0298848
203,0.0433839
204,0.0428342
