hour,nl_node
1,0.72939
2,0.72939
3,0.68536
4,0.63976
5,0.63976
6,0.60594
7,0.57165
8,0.57165
9,0.48689
10,0.40248
11,0.40248
12,0.30342
13,0.21215
14,0.21215
15,0.19594
16,0.18019
17,0.18019
18,0.12297
19,0.07505
20,0.07505
21,0.02677
22,0.00486
23,0.00486
24,0.00406
25,0.00449
26,0.00449
27,0.01793
28,0.06584
29,0.06584
30,0.07587
31,0.08653
32,0.08653
33,0.07759
34,0.06910
35,0.06910
36,0.08274
37,0.09747
38,0.09747
39,0.15829
40,0.22977
41,0.22977
42,0.27399
43,0.32036
44,0.32036
45,0.28906
46,0.25866
47,0.25866
48,0.24151
49,0.22474
50,0.22474
51,0.32920
52,0.44212
53,0.44212
54,0.43486
55,0.42760
56,0.42760
57,0.33660
58,0.25086
59,0.25086
60,0.16338
61,0.09093
62,0.09093
63,0.05951
64,0.03446
65,0.03446
66,0.01833
67,0.00805
68,0.00805
69,0.00410
70,0.00000
71,0.01044
72,0.00420
73,0.00695
74,0.00695
75,0.01937
76,0.04075
77,0.04075
78,0.06512
79,0.09471
80,0.09471
81,0.11175
82,0.12995
83,0.12995
84,0.13690
85,0.14398
86,0.14398
87,0.15366
88,0.16359
89,0.16359
90,0.14106
91,0.11987
92,0.11987
93,0.14519
94,0.17238
95,0.17238
96,0.22628
97,0.28476
98,0.28476
99,0.28023
100,0.27572
101,0.27572
102,0.28784
103,0.30010
104,0.30010
105,0.33433
106,0.36937
107,0.36937
108,0.39164
109,0.41412
110,0.41412
111,0.34918
112,0.28671
113,0.28671
114,0.26041
115,0.23488
116,0.23488
117,0.23705
118,0.23924
119,0.23924
120,0.22664
121,0.21428
122,0.21428
123,0.20320
124,0.19232
125,0.19232
126,0.15947
127,0.12901
128,0.12901
129,0.08710
130,0.05263
131,0.05263
132,0.04299
133,0.03432
134,0.03432
135,0.03870
136,0.04336
137,0.04336
138,0.02000
139,0.00674
140,0.00674
141,0.00565
142,0.00483
143,0.00483
144,0.00429
145,0.00406
146,0.00406
147,0.00460
148,0.00597
149,0.00597
150,0.00956
151,0.01492
152,0.01492
153,0.02975
154,0.05025
155,0.05025
156,0.07426
157,0.10247
158,0.10247
159,0.10486
160,0.10727
161,0.10727
162,0.12021
163,0.13375
164,0.13375
165,0.13996
166,0.14629
167,0.14629
168,0.10284
169,0.06611
170,0.06611
171,0.04457
172,0.02726
173,0.02726
174,0.05482
175,0.09148
176,0.09148
177,0.16890
178,0.26283
179,0.26283
180,0.30425
181,0.34717
182,0.34717
183,0.40910
184,0.47239
185,0.47239
186,0.54567
187,0.61807
188,0.61807
189,0.66782
190,0.71592
191,0.71592
192,0.78119
193,0.84057
194,0.84057
195,0.89887
196,0.94558
197,0.94558
198,0.95594
