hour,de_node_1,de_node_2,de_node_3
1,0.00000,0.00000,0.00000
2,0.00000,0.00000,0.00000
3,0.00000,0.00000,0.00000
4,0.00000,0.00000,0.00000
5,0.00000,0.00000,0.00000
6,0.00475,0.00341,0.00215
7,0.00949,0.00682,0.00431
8,0.01424,0.01024,0.00646
9,0.04165,0.02995,0.01890
10,0.06907,0.04966,0.03134
11,0.09649,0.06938,0.04378
12,0.09620,0.06917,0.04365
13,0.09591,0.06896,0.04352
14,0.09563,0.06876,0.04339
15,0.07232,0.05200,0.03282
16,0.04902,0.03525,0.02224
17,0.02572,0.01849,0.01167
18,0.01718,0.01235,0.00780
19,0.00864,0.00621,0.00392
20,0.00010,0.00007,0.00005
21,0.00007,0.00005,0.00003
22,0.00004,0.00003,0.00002
23,0.00000,0.00000,0.00000
24,0.00000,0.00000,0.00000
25,0.00000,0.00000,0.00000
26,0.00000,0.00000,0.00000
27,0.00000,0.00000,0.00000
28,0.00000,0.00000,0.00000
29,0.00000,0.00000,0.00000
30,0.00377,0.00271,0.00171
31,0.00753,0.00542,0.00342
32,0.01130,0.00812,0.00513
33,0.05124,0.03685,0.02325
34,0.09119,0.06557,0.04138
35,0.13113,0.09429,0.05950
36,0.13930,0.10016,0.06321
37,0.14746,0.10603,0.06691
38,0.15562,0.11190,0.07061
39,0.11946,0.08590,0.05421
40,0.08330,0.05989,0.03780
41,0.04714,0.03389,0.02139
42,0.03152,0.02266,0.01430
43,0.01590,0.01143,0.00722
44,0.00028,0.00020,0.00013
45,0.00019,0.00014,0.00009
46,0.00010,0.00007,0.00004
47,0.00000,0.00000,0.00000
48,0.00000,0.00000,0.00000
49,0.00000,0.00000,0.00000
50,0.00000,0.00000,0.00000
51,0.00000,0.00000,0.00000
52,0.00000,0.00000,0.00000
53,0.00000,0.00000,0.00000
54,0.00632,0.00454,0.00287
55,0.01264,0.00909,0.00574
56,0.01896,0.01363,0.00860
57,0.06196,0.04455,0.02812
58,0.10497,0.07547,0.04763
59,0.14797,0.10639,0.06714
60,0.15012,0.10794,0.06812
61,0.15227,0.10949,0.06909
62,0.15442,0.11103,0.07007
63,0.11734,0.08437,0.05324
64,0.08026,0.05771,0.03642
65,0.04317,0.03104,0.01959
66,0.02887,0.02076,0.01310
67,0.01456,0.01047,0.00661
68,0.00025,0.00018,0.00011
69,0.00017,0.00012,0.00008
70,0.00009,0.00007,0.00004
71,0.00001,0.00001,0.00001
72,0.00001,0.00001,0.00000
73,0.00001,0.00001,0.00000
74,0.00001,0.00000,0.00000
75,0.00000,0.00000,0.00000
76,0.00000,0.00000,0.00000
77,0.00000,0.00000,0.00000
78,0.00782,0.00562,0.00355
79,0.01564,0.01124,0.00709
80,0.02345,0.01686,0.01064
81,0.08261,0.05940,0.03749
82,0.14177,0.10194,0.06433
83,0.20093,0.14448,0.09117
84,0.20888,0.15019,0.09478
85,0.21683,0.15591,0.09839
86,0.22478,0.16162,0.10199
87,0.17189,0.12359,0.07799
88,0.11900,0.08556,0.05399
89,0.06610,0.04753,0.02999
90,0.04421,0.03179,0.02006
91,0.02231,0.01604,0.01012
92,0.00042,0.00030,0.00019
93,0.00028,0.00020,0.00013
94,0.00014,0.00010,0.00007
95,0.00001,0.00000,0.00000
96,0.00001,0.00000,0.00000
97,0.00000,0.00000,0.00000
98,0.00000,0.00000,0.00000
99,0.00000,0.00000,0.00000
100,0.00000,0.00000,0.00000
101,0.00000,0.00000,0.00000
102,0.00935,0.00672,0.00424
103,0.01869,0.01344,0.00848
104,0.02804,0.02016,0.01272
105,0.08549,0.06147,0.03879
106,0.14293,0.10277,0.06486
107,0.20038,0.14408,0.09092
108,0.20377,0.14651,0.09246
109,0.20715,0.14895,0.09399
110,0.21054,0.15138,0.09553
111,0.16022,0.11520,0.07270
112,0.10989,0.07902,0.04986
113,0.05957,0.04283,0.02703
114,0.03984,0.02865,0.01808
115,0.02011,0.01446,0.00913
116,0.00039,0.00028,0.00018
117,0.00026,0.00019,0.00012
118,0.00014,0.00010,0.00006
119,0.00001,0.00001,0.00001
120,0.00001,0.00001,0.00001
121,0.00001,0.00001,0.00000
122,0.00001,0.00000,0.00000
123,0.00000,0.00000,0.00000
124,0.00000,0.00000,0.00000
125,0.00000,0.00000,0.00000
126,0.00738,0.00531,0.00335
127,0.01477,0.01062,0.00670
128,0.02215,0.01593,0.01005
129,0.07621,0.05480,0.03458
130,0.13027,0.09367,0.05911
131,0.18433,0.13254,0.08364
132,0.18343,0.13189,0.08323
133,0.18254,0.13125,0.08283
134,0.18164,0.13060,0.08242
135,0.13710,0.09858,0.06221
136,0.09256,0.06655,0.04200
137,0.04802,0.03453,0.02179
138,0.03209,0.02308,0.01456
139,0.01616,0.01162,0.00733
140,0.00023,0.00017,0.00010
141,0.00016,0.00011,0.00007
142,0.00008,0.00006,0.00004
143,0.00001,0.00001,0.00000
144,0.00001,0.00001,0.00000
145,0.00001,0.00000,0.00000
146,0.00000,0.00000,0.00000
147,0.00000,0.00000,0.00000
148,0.00000,0.00000,0.00000
149,0.00000,0.00000,0.00000
150,0.00708,0.00509,0.00321
151,0.01417,0.01019,0.00643
152,0.02125,0.01528,0.00964
153,0.07517,0.05405,0.03411
154,0.12909,0.09282,0.05857
155,0.18301,0.13159,0.08304
156,0.19151,0.13770,0.08690
157,0.20002,0.14382,0.09076
158,0.20852,0.14993,0.09462
159,0.15975,0.11486,0.07248
160,0.11097,0.07979,0.05035
161,0.06219,0.04471,0.02822
162,0.04160,0.02991,0.01887
163,0.02101,0.01511,0.00953
164,0.00042,0.00030,0.00019
165,0.00029,0.00021,0.00013
166,0.00015,0.00011,0.00007
167,0.00001,0.00001,0.00001
168,0.00001,0.00001,0.00001
169,0.00001,0.00001,0.00000
170,0.00001,0.00000,0.00000
171,0.00000,0.00000,0.00000
172,0.00000,0.00000,0.00000
173,0.00000,0.00000,0.00000
174,0.00427,0.00307,0.00194
175,0.00854,0.00614,0.00388
176,0.01281,0.00921,0.00581
177,0.04765,0.03426,0.02162
178,0.08249,0.05931,0.03743
179,0.11733,0.08436,0.05324
180,0.11726,0.08432,0.05321
181,0.11720,0.08427,0.05318
182,0.11714,0.08423,0.05315
183,0.08857,0.06368,0.04019
184,0.05999,0.04314,0.02722
185,0.03142,0.02259,0.01426
186,0.02103,0.01512,0.00954
187,0.01065,0.00766,0.00483
188,0.00027,0.00019,0.00012
189,0.00018,0.00013,0.00008
190,0.00010,0.00007,0.00004
191,0.00001,0.00001,0.00001
192,0.00001,0.00001,0.00000
193,0.00001,0.00001,0.00000
194,0.00001,0.00000,0.00000
195,0.00000,0.00000,0.00000
196,0.00000,0.00000,0.00000
197,0.00000,0.00000,0.00000
198,0.00269,0.00193,0.00122
199,0.00537,0.00386,0.00244
200,0.00806,0.00579,0.00366
201,0.02859,0.02055,0.01297
202,0.04911,0.03531,0.02228
203,0.06964,0.05007,0.03160
204,0.07083,0.05093,0.03214
205,0.07203,0.05179,0.03268
206,0.07322,0.05265,0.03322
207,0.05566,0.04002,0.02526
208,0.03810,0.02739,0.01729
209,0.02053,0.01476,0.00932
210,0.01374,0.00988,0.00623
211,0.00694,0.00499,0.00315
212,0.00014,0.00010,0.00006
213,0.00010,0.00007,0.00004
214,0.00005,0.00004,0.00002
215,0.00001,0.00001,0.00000
216,0.00001,0.00001,0.00000
217,0.00001,0.00001,0.00000
218,0.00001,0.00000,0.00000
219,0.00000,0.00000,0.00000
220,0.00000,0.00000,0.00000
221,0.00000,0.00000,0.00000
222,0.00240,0.00172,0.00109
223,0.00479,0.00345,0.00217
224,0.00719,0.00517,0.00326
225,0.02693,0.01936,0.01222
226,0.04667,0.03355,0.02117
227,0.06640,0.04775,0.03013
228,0.07412,0.05330,0.03363
229,0.08184,0.05884,0.03713
230,0.08956,0.06439,0.04064
231,0.06960,0.05005,0.03158
