hour,de_node_1,de_node_2,de_node_3
1,0.32888,0.29611,0.26129
2,0.32888,0.29611,0.26129
3,0.30794,0.27725,0.24465
4,0.28728,0.25865,0.22824
5,0.28728,0.25865,0.22824
6,0.25365,0.22838,0.20152
7,0.22118,0.19914,0.17572
8,0.22118,0.19914,0.17572
9,0.21723,0.19558,0.17259
10,0.21330,0.19204,0.16946
11,0.21330,0.19204,0.16946
12,0.21285,0.19164,0.16910
13,0.21240,0.19123,0.16875
14,0.21240,0.19123,0.16875
15,0.19808,0.17834,0.15737
16,0.18408,0.16574,0.14625
17,0.18408,0.16574,0.14625
18,0.16829,0.15152,0.13371
19,0.15301,0.13776,0.12156
20,0.15301,0.13776,0.12156
21,0.13940,0.12551,0.11075
22,0.12627,0.11369,0.10032
23,0.12627,0.11369,0.10032
24,0.13231,0.11912,0.10511
25,0.13845,0.12465,0.10999
26,0.13845,0.12465,0.10999
27,0.12133,0.10924,0.09639
28,0.10512,0.09464,0.08351
29,0.10512,0.09464,0.08351
30,0.09530,0.08580,0.07571
31,0.08589,0.07733,0.06824
32,0.08589,0.07733,0.06824
33,0.08938,0.08047,0.07101
34,0.09293,0.08367,0.07383
35,0.09293,0.08367,0.07383
36,0.09179,0.08264,0.07292
37,0.09065,0.08162,0.07202
38,0.09065,0.08162,0.07202
39,0.16423,0.14787,0.13048
40,0.25228,0.22714,0.20043
41,0.25228,0.22714,0.20043
42,0.27655,0.24899,0.21971
43,0.30135,0.27132,0.23942
44,0.30135,0.27132,0.23942
45,0.31314,0.28194,0.24879
46,0.32502,0.29264,0.25823
47,0.32502,0.29264,0.25823
48,0.32339,0.29116,0.25693
49,0.32176,0.28969,0.25563
50,0.32176,0.28969,0.25563
51,0.30801,0.27732,0.24471
52,0.29440,0.26506,0.23389
53,0.29440,0.26506,0.23389
54,0.22143,0.19937,0.17592
55,0.15515,0.13969,0.12326
56,0.15515,0.13969,0.12326
57,0.11791,0.10616,0.09368
58,0.08487,0.07641,0.06743
59,0.08487,0.07641,0.06743
60,0.04612,0.04153,0.03664
61,0.01891,0.01703,0.01502
62,0.01891,0.01703,0.01502
63,0.02240,0.02016,0.01779
64,0.02621,0.02360,0.02082
65,0.02621,0.02360,0.02082
66,0.04366,0.03931,0.03468
67,0.06540,0.05888,0.05196
68,0.06540,0.05888,0.05196
69,0.07805,0.07027,0.06201
70,0.09167,0.08253,0.07283
71,0.09167,0.08253,0.07283
72,0.13877,0.12494,0.11025
73,0.19296,0.17373,0.15330
74,0.19296,0.17373,0.15330
75,0.27427,0.24694,0.21790
76,0.36206,0.32598,0.28765
77,0.36206,0.32598,0.28765
78,0.38916,0.35038,0.30918
79,0.41643,0.37493,0.33084
80,0.41643,0.37493,0.33084
81,0.40343,0.36323,0.32052
82,0.39047,0.35155,0.31022
83,0.39047,0.35155,0.31022
84,0.35224,0.31714,0.27985
85,0.31461,0.28326,0.24995
