hour,de_node_1,de_node_2,de_node_3
1,0.37700,0.34984,0.28215
2,0.37700,0.34984,0.28215
3,0.34864,0.32352,0.26092
4,0.32116,0.29802,0.24036
5,0.32116,0.29802,0.24036
6,0.32297,0.29970,0.24171
7,0.32479,0.30138,0.24307
8,0.32479,0.30138,0.24307
9,0.30752,0.28536,0.23015
10,0.29065,0.26971,0.21752
11,0.29065,0.26971,0.21752
12,0.27771,0.25770,0.20784
13,0.26504,0.24594,0.19836
14,0.26504,0.24594,0.19836
15,0.23518,0.21824,0.17601
16,0.20711,0.19218,0.15500
17,0.20711,0.19218,0.15500
18,0.19378,0.17981,0.14502
19,0.18094,0.16790,0.13542
20,0.18094,0.16790,0.13542
21,0.15795,0.14657,0.11821
22,0.13691,0.12704,0.10246
23,0.13691,0.12704,0.10246
24,0.12856,0.11930,0.09621
25,0.12059,0.11190,0.09025
26,0.12059,0.11190,0.09025
27,0.11716,0.10872,0.08768
28,0.11381,0.10561,0.08518
29,0.11381,0.10561,0.08518
30,0.10804,0.10026,0.08086
31,0.10253,0.09514,0.07673
32,0.10253,0.09514,0.07673
33,0.09346,0.08673,0.06995
34,0.08521,0.07907,0.06377
35,0.08521,0.07907,0.06377
36,0.07838,0.07274,0.05866
37,0.07228,0.06707,0.05409
38,0.07228,0.06707,0.05409
39,0.07455,0.06917,0.05579
40,0.07692,0.07138,0.05757
41,0.07692,0.07138,0.05757
42,0.08161,0.07573,0.06107
43,0.08665,0.08041,0.06485
44,0.08665,0.08041,0.06485
45,0.08194,0.07604,0.06133
46,0.07755,0.07196,0.05804
47,0.07755,0.07196,0.05804
48,0.07403,0.06869,0.05540
49,0.07074,0.06565,0.05294
50,0.07074,0.06565,0.05294
51,0.07818,0.07255,0.05851
52,0.08672,0.08047,0.06490
53,0.08672,0.08047,0.06490
54,0.08451,0.07842,0.06324
55,0.08236,0.07642,0.06164
56,0.08236,0.07642,0.06164
57,0.08175,0.07586,0.06118
58,0.08114,0.07529,0.06072
59,0.08114,0.07529,0.06072
60,0.06140,0.05697,0.04595
61,0.05176,0.04803,0.03874
62,0.05176,0.04803,0.03874
63,0.05860,0.05438,0.04386
64,0.07198,0.06679,0.05387
65,0.07198,0.06679,0.05387
66,0.06492,0.06025,0.04859
67,0.05926,0.05499,0.04435
68,0.05926,0.05499,0.04435
69,0.05522,0.05124,0.04133
70,0.05249,0.04871,0.03928
71,0.05249,0.04871,0.03928
72,0.06011,0.05578,0.04499
73,0.07374,0.06843,0.05519
74,0.07374,0.06843,0.05519
75,0.07502,0.06962,0.05615
76,0.07634,0.07084,0.05713
77,0.07634,0.07084,0.05713
78,0.09946,0.09229,0.07444
79,0.12920,0.11989,0.09670
80,0.12920,0.11989,0.09670
81,0.15145,0.14054,0.11335
82,0.17606,0.16338,0.13176
83,0.17606,0.16338,0.13176
84,0.20047,0.18602,0.15003
85,0.22661,0.21029,0.16960
86,0.22661,0.21029,0.16960
87,0.23993,0.22264,0.17956
88,0.25362,0.23534,0.18981
89,0.25362,0.23534,0.18981
90,0.24792,0.23005,0.18554
91,0.24228,0.22482,0.18132
92,0.24228,0.22482,0.18132
93,0.23618,0.21917,0.17676
94,0.23017,0.21358,0.17226
95,0.23017,0.21358,0.17226
96,0.22968,0.21313,0.17189
97,0.22919,0.21268,0.17153
98,0.22919,0.21268,0.17153
99,0.22466,0.20847,0.16813
100,0.22017,0.20430,0.16477
101,0.22017,0.20430,0.16477
102,0.20485,0.19009,0.15331
103,0.19012,0.17642,0.14229
104,0.19012,0.17642,0.14229
105,0.18826,0.17470,0.14090
106,0.18642,0.17299,0.13952
107,0.18642,0.17299,0.13952
108,0.17274,0.16030,0.12928
109,0.15969,0.14818,0.11951
110,0.15969,0.14818,0.11951
111,0.15528,0.14409,0.11621
112,0.15096,0.14008,0.11298
113,0.15096,0.14008,0.11298
114,0.15798,0.14660,0.11823
115,0.16521,0.15331,0.12364
116,0.16521,0.15331,0.12364
117,0.15350,0.14244,0.11488
118,0.14234,0.13209,0.10653
119,0.14234,0.13209,0.10653
120,0.11173,0.10368,0.08362
121,0.08684,0.08059,0.06499
122,0.08684,0.08059,0.06499
123,0.07641,0.07090,0.05719
124,0.06768,0.06280,0.05065
125,0.06768,0.06280,0.05065
126,0.05833,0.05413,0.04366
127,0.05269,0.04889,0.03943
128,0.05269,0.04889,0.03943
129,0.05118,0.04750,0.03831
130,0.05101,0.04733,0.03817
131,0.05101,0.04733,0.03817
132,0.05345,0.04960,0.04000
133,0.05932,0.05504,0.04439
134,0.05932,0.05504,0.04439
135,0.05622,0.05217,0.04207
136,0.05384,0.04996,0.04029
137,0.05384,0.04996,0.04029
138,0.05235,0.04858,0.03918
139,0.05139,0.04769,0.03846
140,0.05139,0.04769,0.03846
141,0.05164,0.04792,0.03865
142,0.05194,0.04820,0.03887
143,0.05194,0.04820,0.03887
144,0.05096,0.04729,0.03814
145,0.05127,0.04757,0.03837
146,0.05127,0.04757,0.03837
147,0.05173,0.04800,0.03872
148,0.05239,0.04861,0.03921
149,0.05239,0.04861,0.03921
150,0.05225,0.04848,0.03910
151,0.05211,0.04836,0.03900
152,0.05211,0.04836,0.03900
153,0.05206,0.04831,0.03896
154,0.05202,0.04827,0.03893
155,0.05202,0.04827,0.03893
156,0.05092,0.04725,0.03811
157,0.05235,0.04858,0.03918
158,0.05235,0.04858,0.03918
159,0.05273,0.04893,0.03947
160,0.05316,0.04933,0.03979
161,0.05316,0.04933,0.03979
162,0.05113,0.04744,0.03826
163,0.05124,0.04755,0.03835
164,0.05124,0.04755,0.03835
165,0.05110,0.04742,0.03824
166,0.05100,0.04733,0.03817
167,0.05100,0.04733,0.03817
168,0.05126,0.04757,0.03837
169,0.05170,0.04798,0.03869
170,0.05170,0.04798,0.03869
171,0.05629,0.05224,0.04213
172,0.06483,0.06016,0.04852
173,0.06483,0.06016,0.04852
174,0.09140,0.08481,0.06840
175,0.13036,0.12097,0.09756
176,0.13036,0.12097,0.09756
177,0.16930,0.15710,0.12671
178,0.21461,0.19914,0.16061
179,0.21461,0.19914,0.16061
180,0.30545,0.28344,0.22860
181,0.40985,0.38032,0.30673
182,0.40985,0.38032,0.30673
183,0.45169,0.41914,0.33804
184,0.49479,0.45913,0.37030
185,0.49479,0.45913,0.37030
186,0.58821,0.54583,0.44022
187,0.68480,0.63546,0.51250
188,0.68480,0.63546,0.51250
189,0.75273,0.69849,0.56334
190,0.82090,0.76175,0.61436
191,0.82090,0.76175,0.61436
192,0.87268,0.80980,0.65311
193,0.92406,0.85748,0.69156
194,0.92406,0.85748,0.69156
195,0.97853,0.90802,0.73233
196,1.03198,0.95762,0.77233
197,1.03198,0.95762,0.77233
198,1.06254,0.98598,0.79520
199,1.09260,1.01387,0.81770
200,1.09260,1.01387,0.81770
201,1.11835,1.03777,0.83697
202,1.14364,1.06123,0.85590
203,1.14364,1.06123,0.85590
204,1.17707,1.09226,0.88092
205,1.20950,1.12235,0.90519
206,1.20950,1.12235,0.90519
207,1.17806,1.09317,0.88166
208,1.14566,1.06311,0.85741
209,1.14566,1.06311,0.85741
210,1.12464,1.04360,0.84168
211,1.10328,1.02379,0.82570
212,1.10328,1.02379,0.82570
213,1.08713,1.00880,0.81361
214,1.07082,0.99366,0.80140
215,1.07082,0.99366,0.80140
216,1.02112,0.94754,0.76420
217,0.97030,0.90038,0.72617
218,0.97030,0.90038,0.72617
219,0.90115,0.83621,0.67442
220,0.83102,0.77114,0.62193
221,0.83102,0.77114,0.62193
222,0.76396,0.70892,0.57175
223,0.69705,0.64683,0.52167
224,0.69705,0.64683,0.52167
225,0.66256,0.61482,0.49586
226,0.62830,0.58303,0.47022
227,0.62830,0.58303,0.47022
228,0.58374,0.54167,0.43687
229,0.53987,0.50097,0.40404
230,0.53987,0.50097,0.40404
231,0.50320,0.46694,0.37659
232,0.46724,0.43358,0.34968
233,0.46724,0.43358,0.34968
234,0.44396,0.41197,0.33226
235,0.42107,0.39073,0.31513
236,0.42107,0.39073,0.31513
237,0.40558,0.37636,0.30354
238,0.39030,0.36218,0.29210
239,0.39030,0.36218,0.29210
240,0.36939,0.34277,0.27645
241,0.34891,0.32377,0.26113
242,0.34891,0.32377,0.26113
243,0.30086,0.27918,0.22516
244,0.25593,0.23749,0.19154
245,0.25593,0.23749,0.19154
246,0.24820,0.23032,0.18575
247,0.24059,0.22325,0.18005
248,0.24059,0.22325,0.18005
249,0.23344,0.21662,0.17471
250,0.22641,0.21010,0.16945
251,0.22641,0.21010,0.16945
252,0.22157,0.20561,0.16582
253,0.21679,0.20117,0.16224
254,0.21679,0.20117,0.16224
255,0.14355,0.13320,0.10743
256,0.08958,0.08313,0.06704
257,0.08958,0.08313,0.06704
258,0.09182,0.08520,0.06872
259,0.09411,0.08733,0.07043
260,0.09411,0.08733,0.07043
261,0.09124,0.08467,0.06829
262,0.08847,0.08209,0.06621
263,0.08847,0.08209,0.06621
264,0.08174,0.07585,0.06117
265,0.07563,0.07018,0.05660
266,0.07563,0.07018,0.05660
267,0.06817,0.06326,0.05102
268,0.06201,0.05754,0.04640
269,0.06201,0.05754,0.04640
270,0.06401,0.05940,0.04790
271,0.06617,0.06140,0.04952
272,0.06617,0.06140,0.04952
273,0.08033,0.07455,0.06012
274,0.09873,0.09162,0.07389
275,0.09873,0.09162,0.07389
276,0.09712,0.09013,0.07269
277,0.09554,0.08866,0.07150
278,0.09554,0.08866,0.07150
279,0.13770,0.12778,0.10305
280,0.19159,0.17779,0.14339
281,0.19159,0.17779,0.14339
282,0.26685,0.24762,0.19971
283,0.35367,0.32818,0.26468
284,0.35367,0.32818,0.26468
285,0.37588,0.34880,0.28131
286,0.39859,0.36987,0.29831
287,0.39859,0.36987,0.29831
288,0.41211,0.38242,0.30842
289,0.42578,0.39510,0.31866
290,0.42578,0.39510,0.31866
291,0.48067,0.44603,0.35973
292,0.53745,0.49873,0.40223
293,0.53745,0.49873,0.40223
294,0.57393,0.53257,0.42953
295,0.61091,0.56689,0.45721
296,0.61091,0.56689,0.45721
297,0.64577,0.59924,0.48330
298,0.68092,0.63186,0.50960
299,0.68092,0.63186,0.50960
300,0.62278,0.57790,0.46609
301,0.56557,0.52481,0.42327
302,0.56557,0.52481,0.42327
303,0.57767,0.53605,0.43233
304,0.58983,0.54733,0.44143
305,0.58983,0.54733,0.44143
306,0.59229,0.54961,0.44327
307,0.59475,0.55189,0.44511
308,0.59475,0.55189,0.44511
309,0.55204,0.51226,0.41314
310,0.51009,0.47333,0.38175
311,0.51009,0.47333,0.38175
