hour,nl_node_1,nl_node_2,nl_node_3
1,0.00000,0.00000,0.00000
2,0.00000,0.00000,0.00000
3,0.00000,0.00000,0.00000
4,0.00000,0.00000,0.00000
5,0.00000,0.00000,0.00000
6,0.00265,0.00172,0.00109
7,0.00531,0.00344,0.00218
8,0.00796,0.00516,0.00326
9,0.04576,0.02966,0.01877
10,0.08355,0.05417,0.03428
11,0.12135,0.07867,0.04978
12,0.12813,0.08306,0.05256
13,0.13490,0.08746,0.05534
14,0.14168,0.09185,0.05812
15,0.10851,0.07035,0.04451
16,0.07534,0.04884,0.03091
17,0.04218,0.02734,0.01730
18,0.02821,0.01829,0.01157
19,0.01425,0.00924,0.00585
20,0.00028,0.00018,0.00012
21,0.00019,0.00012,0.00008
22,0.00009,0.00006,0.00004
23,0.00000,0.00000,0.00000
24,0.00000,0.00000,0.00000
25,0.00000,0.00000,0.00000
26,0.00000,0.00000,0.00000
27,0.00000,0.00000,0.00000
28,0.00000,0.00000,0.00000
29,0.00000,0.00000,0.00000
30,0.00202,0.00131,0.00083
31,0.00404,0.00262,0.00166
32,0.00606,0.00393,0.00249
33,0.03105,0.02013,0.01274
34,0.05605,0.03633,0.02299
35,0.08104,0.05254,0.03325
36,0.08136,0.05275,0.03338
37,0.08169,0.05296,0.03351
38,0.08201,0.05317,0.03364
39,0.06189,0.04012,0.02539
40,0.04178,0.02708,0.01714
41,0.02166,0.01404,0.00889
42,0.01447,0.00938,0.00593
43,0.00727,0.00471,0.00298
44,0.00008,0.00005,0.00003
45,0.00005,0.00004,0.00002
46,0.00003,0.00002,0.00001
47,0.00000,0.00000,0.00000
48,0.00000,0.00000,0.00000
49,0.00000,0.00000,0.00000
50,0.00000,0.00000,0.00000
51,0.00000,0.00000,0.00000
52,0.00000,0.00000,0.00000
53,0.00000,0.00000,0.00000
54,0.00256,0.00166,0.00105
55,0.00511,0.00331,0.00210
56,0.00767,0.00497,0.00315
57,0.04801,0.03113,0.01970
58,0.08836,0.05728,0.03625
59,0.12870,0.08343,0.05280
60,0.13685,0.08872,0.05614
61,0.14500,0.09400,0.05948
62,0.15315,0.09928,0.06283
63,0.11747,0.07616,0.04819
64,0.08180,0.05303,0.03355
65,0.04612,0.02990,0.01892
66,0.03085,0.02000,0.01266
67,0.01559,0.01010,0.00639
68,0.00032,0.00021,0.00013
69,0.00022,0.00014,0.00009
70,0.00013,0.00008,0.00005
71,0.00003,0.00002,0.00001
72,0.00002,0.00002,0.00001
73,0.00002,0.00001,0.00001
74,0.00001,0.00001,0.00001
75,0.00001,0.00001,0.00000
76,0.00000,0.00000,0.00000
77,0.00000,0.00000,0.00000
78,0.00323,0.00209,0.00132
79,0.00646,0.00419,0.00265
80,0.00969,0.00628,0.00397
81,0.05076,0.03291,0.02083
82,0.09184,0.05954,0.03768
83,0.13292,0.08617,0.05453
84,0.13185,0.08548,0.05409
85,0.13079,0.08479,0.05365
86,0.12972,0.08410,0.05322
87,0.09756,0.06325,0.04002
88,0.06540,0.04240,0.02683
89,0.03324,0.02155,0.01364
90,0.02223,0.01441,0.00912
91,0.01121,0.00727,0.00460
92,0.00020,0.00013,0.00008
93,0.00013,0.00008,0.00005
94,0.00007,0.00004,0.00003
95,0.00000,0.00000,0.00000
96,0.00000,0.00000,0.00000
97,0.00000,0.00000,0.00000
98,0.00000,0.00000,0.00000
99,0.00000,0.00000,0.00000
100,0.00000,0.00000,0.00000
101,0.00000,0.00000,0.00000
102,0.00084,0.00054,0.00034
103,0.00167,0.00109,0.00069
104,0.00251,0.00163,0.00103
105,0.01811,0.01174,0.00743
106,0.03371,0.02185,0.01383
107,0.04931,0.03197,0.02023
108,0.05593,0.03626,0.02294
109,0.06255,0.04055,0.02566
110,0.06916,0.04484,0.02837
111,0.05381,0.03488,0.02207
112,0.03845,0.02493,0.01577
113,0.02309,0.01497,0.00947
114,0.01547,0.01003,0.00634
115,0.00784,0.00508,0.00322
116,0.00022,0.00014,0.00009
117,0.00015,0.00009,0.00006
118,0.00007,0.00005,0.00003
119,0.00000,0.00000,0.00000
120,0.00000,0.00000,0.00000
121,0.00000,0.00000,0.00000
122,0.00000,0.00000,0.00000
123,0.00000,0.00000,0.00000
124,0.00000,0.00000,0.00000
125,0.00000,0.00000,0.00000
126,0.00176,0.00114,0.00072
127,0.00352,0.00228,0.00144
128,0.00528,0.00342,0.00216
129,0.03376,0.02189,0.01385
130,0.06224,0.04035,0.02553
131,0.09072,0.05882,0.03722
132,0.10352,0.06711,0.04247
133,0.11631,0.07540,0.04771
134,0.12911,0.08370,0.05296
135,0.10043,0.06511,0.04120
136,0.07176,0.04652,0.02944
137,0.04309,0.02793,0.01768
138,0.02879,0.01866,0.01181
139,0.01449,0.00939,0.00594
140,0.00019,0.00012,0.00008
141,0.00012,0.00008,0.00005
142,0.00006,0.00004,0.00003
143,0.00000,0.00000,0.00000
144,0.00000,0.00000,0.00000
145,0.00000,0.00000,0.00000
146,0.00000,0.00000,0.00000
147,0.00000,0.00000,0.00000
148,0.00000,0.00000,0.00000
149,0.00000,0.00000,0.00000
150,0.00203,0.00131,0.00083
151,0.00405,0.00263,0.00166
152,0.00608,0.00394,0.00249
153,0.03878,0.02514,0.01591
154,0.07148,0.04634,0.02932
155,0.10418,0.06754,0.04274
156,0.11598,0.07519,0.04758
157,0.12777,0.08283,0.05242
158,0.13957,0.09048,0.05725
159,0.10818,0.07013,0.04438
160,0.07680,0.04979,0.03150
161,0.04541,0.02944,0.01863
162,0.03040,0.01971,0.01247
163,0.01539,0.00998,0.00631
164,0.00037,0.00024,0.00015
165,0.00026,0.00017,0.00010
166,0.00014,0.00009,0.00006
167,0.00002,0.00001,0.00001
168,0.00002,0.00001,0.00001
169,0.00001,0.00001,0.00001
170,0.00001,0.00001,0.00000
171,0.00001,0.00000,0.00000
172,0.00000,0.00000,0.00000
173,0.00000,0.00000,0.00000
174,0.00313,0.00203,0.00128
175,0.00626,0.00406,0.00257
176,0.00939,0.00609,0.00385
177,0.05230,0.03391,0.02146
178,0.09521,0.06173,0.03906
179,0.13813,0.08955,0.05666
180,0.14838,0.09619,0.06087
181,0.15863,0.10284,0.06507
182,0.16888,0.10948,0.06928
183,0.12992,0.08422,0.05330
184,0.09095,0.05896,0.03731
185,0.05199,0.03371,0.02133
186,0.03479,0.02255,0.01427
187,0.01758,0.01140,0.00721
188,0.00037,0.00024,0.00015
189,0.00025,0.00016,0.00010
190,0.00013,0.00009,0.00005
191,0.00001,0.00001,0.00000
192,0.00001,0.00001,0.00000
193,0.00001,0.00000,0.00000
194,0.00000,0.00000,0.00000
195,0.00000,0.00000,0.00000
196,0.00000,0.00000,0.00000
197,0.00000,0.00000,0.00000
198,0.00181,0.00117,0.00074
199,0.00362,0.00235,0.00149
200,0.00543,0.00352,0.00223
201,0.03082,0.01998,0.01264
202,0.05622,0.03645,0.02306
203,0.08161,0.05291,0.03348
204,0.08058,0.05224,0.03305
205,0.07954,0.05157,0.03263
206,0.07851,0.05090,0.03221
207,0.05898,0.03824,0.02420
208,0.03946,0.02558,0.01619
209,0.01993,0.01292,0.00818
210,0.01335,0.00866,0.00548
211,0.00678,0.00439,0.00278
212,0.00020,0.00013,0.00008
213,0.00014,0.00009,0.00006
214,0.00007,0.00005,0.00003
215,0.00001,0.00001,0.00000
216,0.00001,0.00001,0.00000
217,0.00001,0.00000,0.00000
218,0.00000,0.00000,0.00000
219,0.00000,0.00000,0.00000
220,0.00000,0.00000,0.00000
221,0.00000,0.00000,0.00000
222,0.00069,0.00045,0.00028
223,0.00138,0.00090,0.00057
224,0.00207,0.00134,0.00085
225,0.01524,0.00988,0.00625
226,0.02841,0.01842,0.01166
227,0.04159,0.02696,0.01706
228,0.05051,0.03274,0.02072
229,0.05943,0.03853,0.02438
230,0.06835,0.04431,0.02804
