hour,nl_node_1,nl_node_2,nl_node_3
1,0.77718,0.63785,0.56955
2,0.77718,0.63785,0.56955
3,0.73026,0.59934,0.53517
4,0.68168,0.55947,0.49956
5,0.68168,0.55947,0.49956
6,0.64564,0.52989,0.47315
7,0.60911,0.49991,0.44638
8,0.60911,0.49991,0.44638
9,0.51879,0.42578,0.38019
10,0.42886,0.35197,0.31428
11,0.42886,0.35197,0.31428
12,0.32330,0.26533,0.23692
13,0.22605,0.18552,0.16566
14,0.22605,0.18552,0.16566
15,0.20878,0.17135,0.15300
16,0.19199,0.15757,0.14070
17,0.19199,0.15757,0.14070
18,0.13103,0.10754,0.09602
19,0.07997,0.06563,0.05860
20,0.07997,0.06563,0.05860
21,0.02852,0.02341,0.02090
22,0.00518,0.00425,0.00379
23,0.00518,0.00425,0.00379
24,0.00433,0.00355,0.00317
25,0.00478,0.00393,0.00351
26,0.00478,0.00393,0.00351
27,0.01910,0.01568,0.01400
28,0.07016,0.05758,0.05141
29,0.07016,0.05758,0.05141
30,0.08084,0.06634,0.05924
31,0.09220,0.07567,0.06756
32,0.09220,0.07567,0.06756
33,0.08268,0.06785,0.06059
34,0.07363,0.06043,0.05396
35,0.07363,0.06043,0.05396
36,0.08817,0.07236,0.06461
37,0.10386,0.08524,0.07611
38,0.10386,0.08524,0.07611
39,0.16866,0.13843,0.12360
40,0.24483,0.20093,0.17942
41,0.24483,0.20093,0.17942
42,0.29195,0.23960,0.21395
43,0.34135,0.28015,0.25015
44,0.34135,0.28015,0.25015
45,0.30800,0.25278,0.22571
46,0.27561,0.22619,0.20197
47,0.27561,0.22619,0.20197
48,0.25734,0.21120,0.18859
49,0.23947,0.19654,0.17549
50,0.23947,0.19654,0.17549
51,0.35076,0.28788,0.25705
52,0.47109,0.38663,0.34523
53,0.47109,0.38663,0.34523
54,0.46335,0.38028,0.33956
55,0.45562,0.37394,0.33390
56,0.45562,0.37394,0.33390
57,0.35865,0.29435,0.26283
58,0.26730,0.21937,0.19588
59,0.26730,0.21937,0.19588
60,0.17409,0.14288,0.12758
61,0.09688,0.07951,0.07100
62,0.09688,0.07951,0.07100
63,0.06341,0.05204,0.04647
64,0.03672,0.03014,0.02691
65,0.03672,0.03014,0.02691
66,0.01953,0.01603,0.01431
67,0.00857,0.00704,0.00628
68,0.00857,0.00704,0.00628
69,0.00437,0.00359,0.00320
70,0.00000,0.00000,0.00000
71,0.01113,0.00913,0.00815
72,0.00447,0.00367,0.00328
73,0.00740,0.00608,0.00543
74,0.00740,0.00608,0.00543
75,0.02064,0.01694,0.01512
76,0.04342,0.03564,0.03182
77,0.04342,0.03564,0.03182
78,0.06939,0.05695,0.05085
79,0.10091,0.08282,0.07395
80,0.10091,0.08282,0.07395
81,0.11907,0.09772,0.08726
82,0.13847,0.11364,0.10148
83,0.13847,0.11364,0.10148
84,0.14587,0.11972,0.10690
85,0.15342,0.12591,0.11243
86,0.15342,0.12591,0.11243
87,0.16373,0.13438,0.11999
88,0.17431,0.14306,0.12774
89,0.17431,0.14306,0.12774
90,0.15030,0.12335,0.11015
91,0.12772,0.10482,0.09360
92,0.12772,0.10482,0.09360
93,0.15470,0.12697,0.11337
94,0.18367,0.15074,0.13460
95,0.18367,0.15074,0.13460
96,0.24110,0.19788,0.17669
97,0.30341,0.24902,0.22235
98,0.30341,0.24902,0.22235
99,0.29859,0.24506,0.21882
100,0.29379,0.24112,0.21530
101,0.29379,0.24112,0.21530
102,0.30670,0.25171,0.22476
103,0.31976,0.26243,0.23433
104,0.31976,0.26243,0.23433
105,0.35623,0.29237,0.26106
106,0.39358,0.32301,0.28843
107,0.39358,0.32301,0.28843
108,0.41730,0.34249,0.30582
109,0.44125,0.36215,0.32337
110,0.44125,0.36215,0.32337
111,0.37206,0.30536,0.27266
112,0.30550,0.25073,0.22388
113,0.30550,0.25073,0.22388
114,0.27747,0.22773,0.20334
115,0.25027,0.20540,0.18340
116,0.25027,0.20540,0.18340
117,0.25258,0.20730,0.18510
118,0.25491,0.20921,0.18681
119,0.25491,0.20921,0.18681
120,0.24149,0.19820,0.17698
121,0.22832,0.18738,0.16732
122,0.22832,0.18738,0.16732
123,0.21651,0.17769,0.15867
124,0.20492,0.16818,0.15017
125,0.20492,0.16818,0.15017
126,0.16991,0.13945,0.12452
