hour,nl_node_1,nl_node_2,nl_node_3
1,0.66958,0.51192,0.38976
2,0.66958,0.51192,0.38976
3,0.60094,0.45944,0.34980
4,0.53260,0.40720,0.31003
5,0.53260,0.40720,0.31003
6,0.50455,0.38575,0.29370
7,0.47676,0.36450,0.27752
8,0.47676,0.36450,0.27752
9,0.40830,0.31216,0.23767
10,0.34281,0.26209,0.19955
11,0.34281,0.26209,0.19955
12,0.28852,0.22059,0.16795
13,0.23791,0.18189,0.13848
14,0.23791,0.18189,0.13848
15,0.19547,0.14945,0.11378
16,0.15713,0.12013,0.09146
17,0.15713,0.12013,0.09146
18,0.12685,0.09698,0.07384
19,0.10056,0.07688,0.05853
20,0.10056,0.07688,0.05853
21,0.06034,0.04614,0.03513
22,0.04164,0.03184,0.02424
23,0.04164,0.03184,0.02424
24,0.04543,0.03474,0.02645
25,0.00000,0.00000,0.00000
26,0.07042,0.05384,0.04099
27,0.05607,0.04287,0.03264
28,0.04652,0.03557,0.02708
29,0.04652,0.03557,0.02708
30,0.04201,0.03212,0.02446
31,0.04068,0.03110,0.02368
32,0.04068,0.03110,0.02368
33,0.04624,0.03535,0.02692
34,0.06155,0.04706,0.03583
35,0.06155,0.04706,0.03583
36,0.05665,0.04331,0.03298
37,0.05238,0.04005,0.03049
38,0.05238,0.04005,0.03049
39,0.05963,0.04559,0.03471
40,0.06849,0.05236,0.03987
41,0.06849,0.05236,0.03987
42,0.06474,0.04949,0.03768
43,0.06124,0.04682,0.03565
44,0.06124,0.04682,0.03565
45,0.09338,0.07140,0.05436
46,0.13833,0.10576,0.08052
47,0.13833,0.10576,0.08052
48,0.19608,0.14991,0.11414
49,0.26370,0.20161,0.15350
50,0.26370,0.20161,0.15350
51,0.32599,0.24923,0.18976
52,0.39275,0.30027,0.22862
53,0.39275,0.30027,0.22862
54,0.34751,0.26568,0.20228
55,0.30412,0.23252,0.17703
56,0.30412,0.23252,0.17703
57,0.22579,0.17262,0.13143
58,0.15818,0.12094,0.09208
59,0.15818,0.12094,0.09208
60,0.09039,0.06910,0.05261
61,0.04993,0.03818,0.02907
62,0.04993,0.03818,0.02907
63,0.04848,0.03707,0.02822
64,0.04715,0.03605,0.02745
65,0.04715,0.03605,0.02745
66,0.04149,0.03172,0.02415
67,0.00000,0.00000,0.00000
68,0.06081,0.04649,0.03540
69,0.05680,0.04343,0.03306
70,0.00000,0.00000,0.00000
71,0.05325,0.04071,0.03100
72,0.04736,0.03621,0.02757
73,0.10937,0.08362,0.06367
74,0.10937,0.08362,0.06367
75,0.14865,0.11365,0.08653
76,0.19500,0.14908,0.11351
77,0.19500,0.14908,0.11351
78,0.25014,0.19124,0.14560
79,0.31100,0.23777,0.18103
80,0.31100,0.23777,0.18103
81,0.37709,0.28830,0.21950
82,0.44685,0.34164,0.26011
83,0.44685,0.34164,0.26011
84,0.44722,0.34192,0.26033
85,0.44760,0.34221,0.26054
86,0.44760,0.34221,0.26054
87,0.35248,0.26949,0.20518
88,0.26507,0.20266,0.15430
89,0.26507,0.20266,0.15430
