realtime,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
timestep,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
nl_target,0.1,0.13,0.19,0.25,0.31,0.37,0.38,0.39,0.4,0.41,0.42,0.425,0.43,0.435,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.8,0.8,0.8,0.8,0.8
nl_target_slow,0.1,0.105,0.11,0.115,0.12,0.125,0.13,0.135,0.14,0.145,0.15,0.155,0.16,0.165,0.17,0.175,0.18,0.185,0.19,0.195,0.2,0.205,0.21,0.215,0.22,0.225,0.23,0.235,0.24,0.245,0.25,0.255,0.26,0.265,0.27,0.275,0.28,0.285,0.29,0.295,0.3,0.305,0.31,0.315,0.32,0.325,0.33,0.335,0.34,0.345,0.35,0.355,0.36,0.365,0.37,0.375
nl_target_windon,0.011,0.015,0.021,0.028,0.035,0.041,0.042,0.044,0.045,0.046,0.047,0.047,0.048,0.049,0.049,0.050,0.051,0.052,0.054,0.055,0.056,0.057,0.058,0.059,0.060,0.061,0.063,0.064,0.065,0.066,0.067,0.068,0.069,0.070,0.071,0.073,0.074,0.075,0.076,0.077,0.078,0.079,0.080,0.082,0.083,0.084,0.085,0.086,0.087,0.088,0.089,0.089,0.089,0.089,0.089,0.089
nl_target_windoff,0.039,0.051,0.075,0.098,0.122,0.146,0.149,0.153,0.157,0.161,0.165,0.167,0.169,0.171,0.173,0.177,0.181,0.185,0.189,0.193,0.197,0.201,0.205,0.208,0.212,0.216,0.220,0.224,0.228,0.232,0.236,0.240,0.244,0.248,0.252,0.256,0.260,0.264,0.267,0.271,0.275,0.279,0.283,0.287,0.291,0.295,0.299,0.303,0.307,0.311,0.315,0.315,0.315,0.315,0.315,0.315
nl_target_photovoltaics,0.014,0.018044,0.026372,0.0347,0.043028,0.051356,0.052744,0.054132,0.05552,0.056908,0.058296,0.05899,0.059684,0.060378,0.061072,0.06246,0.063848,0.065236,0.066624,0.068012,0.0694,0.070788,0.072176,0.073564,0.074952,0.07634,0.077728,0.079116,0.080504,0.081892,0.08328,0.084668,0.086056,0.087444,0.088832,0.09022,0.091608,0.092996,0.094384,0.095772,0.09716,0.098548,0.099936,0.101324,0.102712,0.1041,0.105488,0.106876,0.108264,0.109652,0.11104,0.11104,0.11104,0.11104,0.11104,0.11104
nl_target_biomass,0.031,0.04069,0.05947,0.07825,0.09703,0.11581,0.11894,0.12207,0.1252,0.12833,0.13146,0.133025,0.13459,0.136155,0.13772,0.14085,0.14398,0.14711,0.15024,0.15337,0.1565,0.15963,0.16276,0.16589,0.16902,0.17215,0.17528,0.17841,0.18154,0.18467,0.1878,0.19093,0.19406,0.19719,0.20032,0.20345,0.20658,0.20971,0.21284,0.21597,0.2191,0.22223,0.22536,0.22849,0.23162,0.23475,0.23788,0.24101,0.24414,0.24727,0.2504,0.2504,0.2504,0.2504,0.2504,0.2504
nl_target_biogas,0.004,0.005616,0.008208,0.0108,0.013392,0.015984,0.016416,0.016848,0.01728,0.017712,0.018144,0.01836,0.018576,0.018792,0.019008,0.01944,0.019872,0.020304,0.020736,0.021168,0.0216,0.022032,0.022464,0.022896,0.023328,0.02376,0.024192,0.024624,0.025056,0.025488,0.02592,0.026352,0.026784,0.027216,0.027648,0.02808,0.028512,0.028944,0.029376,0.029808,0.03024,0.030672,0.031104,0.031536,0.031968,0.0324,0.032832,0.033264,0.033696,0.034128,0.03456,0.03456,0.03456,0.03456,0.03456,0.03456
de_target,0.3,0.31,0.33,0.34,0.35,0.37,0.39,0.41,0.42,0.43,0.44,0.46,0.47,0.48,0.49,0.5,0.52,0.54,0.56,0.58,0.6,0.61,0.62,0.63,0.64,0.65,0.67,0.69,0.71,0.73,0.75,0.76,0.77,0.78,0.79,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
de_target_windon,0.06987,0.072199,0.076857,0.079186,0.081515,0.086173,0.090831,0.095489,0.097818,0.100147,0.102476,0.107134,0.109463,0.111792,0.114121,0.11645,0.121108,0.125766,0.130424,0.135082,0.13974,0.142069,0.144398,0.146727,0.149056,0.151385,0.156043,0.160701,0.165359,0.170017,0.174675,0.177004,0.179333,0.181662,0.183991,0.18632,0.18632,0.18632,0.18632,0.18632,0.18632,0.18632,0.18632,0.18632,0.18632,0.18632,0.18632,0.18632,0.18632,0.18632,0.18632,0.18632,0.18632,0.18632,0.18632,0.18632
de_target_windoff,0.1,0.103,0.109,0.113,0.116,0.123,0.129,0.136,0.139,0.143,0.146,0.153,0.156,0.159,0.163,0.166,0.172,0.179,0.186,0.192,0.199,0.202,0.206,0.209,0.212,0.216,0.222,0.229,0.236,0.242,0.249,0.252,0.255,0.259,0.262,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265
de_target_photovoltaics,0.063,0.065,0.07,0.072,0.074,0.078,0.082,0.087,0.089,0.091,0.093,0.097,0.099,0.101,0.103,0.106,0.11,0.114,0.118,0.122,0.127,0.129,0.131,0.133,0.135,0.137,0.142,0.146,0.15,0.154,0.158,0.161,0.163,0.165,0.167,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169
de_target_biomass,0.05661,0.058497,0.062271,0.064158,0.066045,0.069819,0.073593,0.077367,0.079254,0.081141,0.083028,0.086802,0.088689,0.090576,0.092463,0.09435,0.098124,0.101898,0.105672,0.109446,0.11322,0.115107,0.116994,0.118881,0.120768,0.122655,0.126429,0.130203,0.133977,0.137751,0.141525,0.143412,0.145299,0.147186,0.149073,0.15096,0.15096,0.15096,0.15096,0.15096,0.15096,0.15096,0.15096,0.15096,0.15096,0.15096,0.15096,0.15096,0.15096,0.15096,0.15096,0.15096,0.15096,0.15096,0.15096,0.15096
de_target_biogas,0.01065,0.011005,0.011715,0.01207,0.012425,0.013135,0.013845,0.014555,0.01491,0.015265,0.01562,0.01633,0.016685,0.01704,0.017395,0.01775,0.01846,0.01917,0.01988,0.02059,0.0213,0.021655,0.02201,0.022365,0.02272,0.023075,0.023785,0.024495,0.025205,0.025915,0.026625,0.02698,0.027335,0.02769,0.028045,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284
zero_target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
