,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
demandDE-1,1,1.02960675594485,1.05941392051108,1.09963794130287,1.14555278117885,1.1768991798942,1.18618204928864,1.23988363624842,1.28572110526825,1.32733701647907,1.36378330069493,1.40453968841446,1.42880777909848,1.44947903831691,1.48826612619595,1.54793140301696,1.55795139387771,1.60989360785232,1.62729142417441,1.6596222554979,1.71623276805947,1.71792604650852,1.75844114710294,1.81975258232488,1.8767216715986,1.88763692452369,1.96425462462712,2.02758863723811,2.02058057641288,2.08109204275993,2.11250543237439,2.18655412408584,2.22319402571834,2.272754559831,2.35558115094085,2.36737250441534,2.37439379834747,2.44756934505845,2.47684808506681,2.51225304236848,2.57592980737838,2.64225882173665,2.71329616569488,2.78654125443787,2.87646001804747,2.91524943632666,2.93721031009704,2.99580193443221,3.03180664434284,3.05081386112903
demandDE-2,1,1.04391947705444,1.06552147299191,1.08220222639225,1.12966989278388,1.15872819562162,1.18078276267047,1.21842025044716,1.25347220241313,1.24495401152243,1.29813488770294,1.33028157220092,1.34940829837705,1.39281511301609,1.404141001438,1.40920138059428,1.40656606313693,1.43540772818394,1.46757325878389,1.50821248433862,1.51870940104152,1.56378649223294,1.62071428579866,1.6780571100206,1.69045130282851,1.71246735572597,1.73958328245032,1.75970309544727,1.78532114122721,1.81790425880757,1.84108969150368,1.86906659844569,1.8855433608576,1.9330462486431,1.95512005912098,2.0071141082103,2.06734294688974,2.13710720197346,2.1989094550571,2.25679473137982,2.36769739838555,2.37634539587178,2.3740659517232,2.3712907324067,2.3758194643754,2.48402097651865,2.52910943477881,2.64099618052493,2.74008835201755,2.78628406558518
demandDE-3,1,1.02973117363316,1.07310146021357,1.0719930368434,1.10014901094652,1.14627505842828,1.18852458851686,1.21893733304046,1.26908529189454,1.30790743733317,1.29982675486764,1.31853015971463,1.34761679389795,1.35368068504451,1.35132672053786,1.37427348355727,1.38284883573826,1.38186070589287,1.3836250225074,1.42204274227085,1.4798813331478,1.54393587632669,1.56907495950593,1.58034337956186,1.62182310876805,1.64960168932453,1.69854265850149,1.73120991243482,1.71964659841479,1.74705220080865,1.80619381151971,1.82556456083826,1.86278231701229,1.86782903600696,1.89220089433729,1.93372751049406,2.00397639794497,2.07811361347356,2.10993632961242,2.12839970410599,2.13323943117463,2.15403761653512,2.2136002860113,2.25593171048197,2.35050590174687,2.40995410662956,2.45431467880569,2.5029791665277,2.57025488523257,2.58856689450691
demandDE-4,1,1.01373059555302,1.03377977046441,1.05375046408448,1.05823569526186,1.09675367966776,1.13337212470271,1.14305408087386,1.16991950041502,1.1972032712757,1.19964507910408,1.23054670116385,1.25965875436816,1.30609338944439,1.33285896494528,1.37268768164243,1.39845115398272,1.41372723960263,1.42019076157687,1.45631055019719,1.46582015239813,1.5037974490299,1.54169985438535,1.59006704853659,1.64081942460382,1.6676888448978,1.69685608402413,1.72404406818468,1.75778761044331,1.81041192604187,1.84584652985717,1.87930529977943,1.91189367055688,1.94824942621481,1.99292201367302,2.04143423966146,2.06808926479333,2.11813474334403,2.12715630248154,2.12080472128493,2.16570594510015,2.25356066308461,2.29089867857537,2.35636418447894,2.427969111873,2.42132961557043,2.44284980030911,2.52386260319934,2.62067259382748,2.6852916880689
demandDE-5,1,1.02087764567143,1.0426969112194,1.06293726032401,1.08669328200892,1.09548093311721,1.12124187402004,1.15754181022498,1.20415214078568,1.20730563277576,1.23788012181435,1.2648894685135,1.30391999889875,1.31864834327966,1.31254667438684,1.30203261589342,1.33921852473252,1.38720374211974,1.39443336793145,1.39233646398536,1.43593424451354,1.45468046281777,1.47541103508435,1.50529090513777,1.53137530915214,1.54455841719932,1.6017994481487,1.59747443367888,1.64807736094417,1.69148788871257,1.76660523279933,1.8377896811957,1.89031665377865,1.9494326562187,1.95695988265084,1.98178622751578,1.98219496719138,2.01859272360952,2.056461513815,2.05269822684177,2.12567593708728,2.14335866966453,2.22543617810935,2.28421404706772,2.32189576523578,2.38405333209481,2.43600295178939,2.47474670829595,2.52284731337434,2.52537987843259
demandDE-6,1,1.04039876843156,1.04735409045554,1.06825619967324,1.0900039870951,1.13244919320037,1.16933995672723,1.19272769246146,1.20464447552084,1.23828179403792,1.24860130936158,1.28760431621938,1.29380430108167,1.34451997949711,1.37856174730689,1.43502904258074,1.49573699940413,1.53478758420744,1.55351022862881,1.58991893706742,1.63977555835298,1.66234680710461,1.68014051550773,1.71911005304171,1.72277878274255,1.76057763017518,1.76906697333039,1.7899969857367,1.83489145026303,1.9018054111248,1.93678877779793,1.98348953528022,2.00175416694471,2.01581236043959,2.04837375200368,2.0917413811549,2.09349773718158,2.1493491001771,2.17652148525285,2.19753127210209,2.24036644753774,2.28591303601201,2.28700443202878,2.33228807272612,2.38436210243337,2.39576822345086,2.44394975861762,2.50604130699958,2.59291786829549,2.65129750275738
demandDE-7,1,1.01460008533584,1.01961227761448,1.04518552205323,1.04145330748634,1.06337355509109,1.08531595029901,1.09739348825979,1.10891320535724,1.12443532502003,1.14706166820301,1.17207290402253,1.19579673342536,1.21413408180556,1.24895747568027,1.27237398334233,1.30883077520354,1.32215700683612,1.31136381968368,1.34447419728534,1.36097690793498,1.41180576623211,1.42348559049236,1.47015765831284,1.51791424342456,1.57002830851974,1.57109065602996,1.60766863786567,1.635414864206,1.65348856199323,1.69756492083112,1.71131857129482,1.73250647465811,1.74460039254141,1.80081951474542,1.87926360389769,1.91100500069466,1.96561761226597,2.01666398139441,2.08072729353697,2.10687470324129,2.15718766287928,2.19957382915458,2.20081939443863,2.25453699477051,2.30709478036077,2.31726481505676,2.30553649890938,2.38506591501883,2.42488587788886
demandDE-8,1,1.01821024606764,1.02675327673946,1.06167187908635,1.09862338675708,1.12638879659049,1.1587621552324,1.18050442560757,1.18474692906163,1.19825609165663,1.22371600856344,1.24407931659115,1.27384053256769,1.31874759330373,1.31627050743888,1.33751038080575,1.3387370278805,1.35491916140413,1.38166079063512,1.3869364023366,1.43959002018655,1.46365643489356,1.46212965744462,1.50902078222892,1.52277670781838,1.55550834176056,1.59101474493625,1.59865069214792,1.66059449988745,1.66880191415588,1.66828725638197,1.7206260178731,1.75921857994202,1.82564602151299,1.85401368524409,1.90538832417134,1.96370196380025,2.00133635032359,2.06818294400413,2.10709175262719,2.16364437554721,2.23845024118167,2.27807719656553,2.36843213886914,2.40168282894999,2.45386479970476,2.48987341664086,2.56436793388974,2.65232476633526,2.67651516698061
demandDE-9,1,1.02540954679509,1.04650038824437,1.06339238967205,1.06368483804872,1.07192356354823,1.09600557689262,1.13650300149558,1.18178419356164,1.20412168694016,1.220453693129,1.2623927531538,1.28885537243803,1.31722305994776,1.35922123930462,1.34784809848661,1.38538724310188,1.42877896527091,1.43461729651758,1.44695114795742,1.47142677501691,1.47784217694292,1.50011437602957,1.51999023801799,1.55323894312752,1.56672382253712,1.59873797664652,1.64527012697354,1.67121040166788,1.71151134109797,1.78157148823318,1.80866197487804,1.82261623308392,1.90082851112759,1.9404384809651,2.00682092938242,2.07827866136451,2.10690858288535,2.14315764092516,2.16396624753825,2.19222951028382,2.21788898131084,2.31827131736198,2.37655398533596,2.39588472659809,2.45104413682438,2.54802068789395,2.59467533981516,2.60922599720105,2.72280702640654
demandDE-10,1,1.01550795229305,1.04453444845199,1.07057629828631,1.09807988096253,1.10112426872295,1.11972128281275,1.13781312056769,1.14303166638745,1.15722184637426,1.17050500520572,1.20896445493848,1.24756181702673,1.2768218899816,1.30064184455242,1.34349438395214,1.36994403127104,1.40667476954001,1.41208885273693,1.44360487765418,1.48882095739118,1.51632839208462,1.51949276675525,1.56750968271614,1.58869542039439,1.61658009018288,1.64971354927265,1.69762718995257,1.75581122672542,1.78067568135053,1.83497234687937,1.86002695645915,1.91015065234562,1.92613272449195,1.97480622011812,1.99639468619558,2.03446127002709,2.03190090334938,2.08106757319977,2.11473231322313,2.20032582960171,2.21294264456209,2.2145178479858,2.26607513080376,2.27288821661341,2.35297025901908,2.43372870986873,2.43803655956163,2.52073097841255,2.56318707671445
