,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
demandNL-1,1,1.02409819785297,1.04762812699577,1.06452833338285,1.07611376860071,1.12039043559672,1.12775155791595,1.12540833480664,1.16364287697129,1.19231289758972,1.24306172493281,1.25972330839204,1.31828783609917,1.32761199369671,1.35172260929657,1.39587522919827,1.41189215034161,1.45356935074729,1.497084318356,1.4898833654455,1.55493167024933,1.57181808536782,1.6012078435814,1.66989878008364,1.69687154027578,1.68990620961305,1.77078282511598,1.80293718808452,1.87422034463329,1.94056936055714,2.0234431860533,2.05947489618438,2.0984037090059,2.13343013111348,2.13171975636025,2.1730760784359,2.22603525425572,2.28318382033327,2.35552339489651,2.34646474984409,2.39478401440867,2.40796713474911,2.42562458319578,2.48945333282256,2.49383966605305,2.56254050753703,2.58550185757185,2.57568870900507,2.66636372841922,2.72917688556303
demandNL-2,1,1.01779576372216,1.04999394005992,1.08443669155398,1.08565181003803,1.12116306274545,1.15453466611814,1.1927127669296,1.21869711251237,1.22378775393136,1.24685651522152,1.28127686817338,1.30025866578243,1.31522752176927,1.37428932328192,1.4325552550495,1.45423213494892,1.51100391467798,1.56706303837686,1.59651106031715,1.65178886828853,1.69744910877685,1.71763812251819,1.76612583323194,1.78888910998924,1.8677669544529,1.90356108860275,1.90892476283884,1.9629713031776,2.00344280442067,2.02972233334426,2.09264552779609,2.16000487828473,2.23899949526173,2.30286007357893,2.36432203161484,2.42369019117832,2.49771507675127,2.58244651879806,2.62288671056819,2.65048302530998,2.70511391468808,2.75646220305774,2.76196142748784,2.79177440885303,2.83113452104127,2.88261111935234,3.00488805838314,3.11235634226435,3.16544869095587
demandNL-3,1,1.03385371580885,1.03752198822287,1.05030980384084,1.05208402467216,1.05282465327581,1.08121933270112,1.09128433966092,1.10160147466502,1.12660777792982,1.15964089198373,1.1676973754038,1.19604442457921,1.20889081678619,1.24209976582363,1.28290524102088,1.30558953057041,1.30531366017375,1.35063407241452,1.35895349531782,1.37928628350609,1.385507970071,1.44207142355087,1.47228768036689,1.52511919509771,1.54923312090861,1.61660006426434,1.63300967583669,1.67346834113587,1.71531865646073,1.74964253117818,1.75583585987015,1.7967141359323,1.86535428523838,1.89671086381184,1.93397475959053,1.97053529759752,1.98946929960842,1.99043366902512,1.99066132653219,2.01204750619125,2.04055555852057,2.06466719617472,2.09723194430403,2.19486052870911,2.26455349712787,2.33338185354634,2.38238462922979,2.44968584587549,2.51963662361661
demandNL-4,1,1.03755182018888,1.05218770378992,1.06904871034155,1.08319465495498,1.0903981194554,1.09517546591778,1.11747782194334,1.11456611371975,1.13020376898978,1.13546241638156,1.15419485082448,1.1479592568308,1.15536402121504,1.19082945370719,1.21945923987058,1.25243894920073,1.29163015175504,1.33363437540494,1.37982048683738,1.39645927713187,1.42850803671201,1.42957207600098,1.46516589520684,1.4949171336452,1.50425732065873,1.56055494662432,1.61729202605918,1.63295381296832,1.69319786025151,1.72266383800589,1.76054086089212,1.77245766657069,1.80313054243346,1.81509826765278,1.83495740386139,1.90553041526049,1.9939320492493,2.02488181939899,2.06603325303741,2.09805119252856,2.14286650178806,2.21484411750452,2.26794158761729,2.30324514740476,2.31112005580123,2.31102911829537,2.31397100215861,2.36704775656728,2.36566504552599
demandNL-5,1,1.01560089730127,1.06329518632927,1.08750530336588,1.1046456540284,1.14383320644616,1.18055004520671,1.19153161422313,1.23072657742379,1.27599147086729,1.28259147883925,1.31112273574446,1.33189846967802,1.35338153554435,1.36025055208353,1.38672370692887,1.4069917567617,1.43971457559031,1.47654308924714,1.502319905369,1.49696282952823,1.56232240289234,1.56892109226848,1.60117166469746,1.62850425299627,1.66622384151246,1.66182934783076,1.6933167126704,1.71221006810187,1.74892324166158,1.78339828354312,1.83778092198471,1.83276365756183,1.8809604264657,1.87259601206144,1.93902841982393,2.01960111552257,2.03108714158085,2.0953005083203,2.1503291725599,2.18953239893327,2.24649826630523,2.27906296067546,2.3480344569739,2.45030057021653,2.4874855556833,2.58705562406642,2.70086888941533,2.80928125655396,2.89573623751612
demandNL-6,1,1.03072032261396,1.03452450888839,1.07254285527278,1.09718146338081,1.10315645989158,1.14290877877938,1.17858136196278,1.23197739532503,1.26127932874619,1.29445417904357,1.30890447192682,1.36400260313297,1.38344749854501,1.41678584954224,1.44022649857826,1.47494455297925,1.51749697030617,1.53893499794166,1.56014320526648,1.61414109058051,1.64441695405462,1.66533906912012,1.69962203793261,1.76043844341024,1.8000123676933,1.8597200130207,1.9012485157011,1.9492932032625,1.97913571807596,1.97694116450757,2.04613348536831,2.12651172099497,2.10850885811198,2.16054217373133,2.20034036718483,2.28651635612753,2.36109659521854,2.40504935709179,2.49505195282075,2.58793878412484,2.66505740516877,2.67062837472587,2.77777261950905,2.85067044402632,2.90835726260829,2.96111801795588,3.05947384605455,3.1533478236168,3.20593279836644
demandNL-7,1,1.00661314737359,1.01410925467371,1.03045187636335,1.04695926834167,1.05357113132757,1.09110776557378,1.10245979408166,1.13389519499532,1.15762324942181,1.15586588547635,1.15787971024578,1.17449492044269,1.20355521903688,1.2352600637452,1.25496427714669,1.28794864691073,1.33560803245815,1.36613111056708,1.41923185052668,1.41144601248924,1.45440508944334,1.47471636572788,1.49704766822247,1.49747723311381,1.53174182002513,1.57866696426391,1.58802598714954,1.64991161726983,1.66611212320324,1.72292726148965,1.72779172028295,1.74474708299149,1.79711185221092,1.79790631368435,1.83265828891176,1.85247274608291,1.88154398593806,1.89274978056104,1.91777497191791,1.95598998406358,1.98027299782064,1.99960855074241,2.06854197578591,2.09901594842899,2.13457287710707,2.21143232977089,2.22920400919964,2.32191205246155,2.35314627755798
demandNL-8,1,1.0180437095192,1.03146622138741,1.05226208168532,1.05592437162511,1.0809168890112,1.10794819270336,1.14814463328852,1.1623799457754,1.16694245669285,1.17093886378619,1.19316928739727,1.20252880620843,1.22095756695685,1.2681612268036,1.26615959997739,1.29458115388899,1.30459773036278,1.31351871144442,1.32330934845513,1.3559378407702,1.40278934125137,1.43062907492184,1.45543327534876,1.47591922561953,1.50755061379162,1.50628216608126,1.5370894834515,1.53611197781324,1.57492873063277,1.61875482886047,1.64967731245447,1.69331013712111,1.69465691343573,1.71141707194023,1.76765750397044,1.77951309340992,1.81953755785077,1.8692197241107,1.91348694459751,1.94703419872247,1.93636890030507,1.99740800554125,2.05261261172546,2.09609611957854,2.12905717088715,2.14505102203271,2.21199188622291,2.30101585817083,2.3411059783866
demandNL-9,1,0.996940381129648,1.01450033894624,1.02689301996931,1.04473975045431,1.05551323944161,1.06703268979404,1.10489734970205,1.11817204829451,1.1374609947839,1.15057563370927,1.17709509399854,1.20658761446244,1.22811808333852,1.25237539022331,1.26674222982346,1.26671630680246,1.28559578489291,1.30618631998097,1.33550641437027,1.36797321558432,1.37066424570404,1.37101161956027,1.38828665978934,1.38458922054284,1.44096198081157,1.43309376794977,1.44289742922002,1.46261394703318,1.52745645339293,1.59321430907525,1.62765590639823,1.64811597436737,1.64587455444179,1.6647668837509,1.72890070676333,1.7511507840762,1.77071356446804,1.80384491256223,1.83451087467207,1.85992474774291,1.90848451263468,1.92988995784724,1.97720980656126,2.01662330285794,2.06616163515025,2.06346946122712,2.06853733547339,2.13100175646869,2.18219469248622
demandNL-10,1,1.01639997344927,1.04922871006207,1.06028228127452,1.06029911762431,1.07212510791862,1.1037874041333,1.13721264830378,1.18085987066205,1.19882272994323,1.21235027989316,1.21933891849192,1.24053800807485,1.28835577043463,1.32577591975976,1.33431561127001,1.34051634400863,1.37045797385834,1.40458951133422,1.42439496308217,1.42482731652538,1.45260214371179,1.45659177583625,1.48849708845598,1.51914838666447,1.5268195828189,1.58681239669673,1.62608066442101,1.67141320655424,1.74274482244491,1.74770775345751,1.78240123715922,1.83236625065251,1.86834846471821,1.86261628815423,1.87291733277719,1.92272648928183,1.99413135523986,2.0469429610087,2.08979973397381,2.12724527883994,2.12098577345459,2.14899815330616,2.16212496762107,2.20345214833324,2.22407610254753,2.28863480179747,2.35351680643593,2.35859374527141,2.38278146516305
demandNL-11,1,1.0063509892327,1.01840860791978,1.04715131637284,1.05968313053247,1.06864270288048,1.08515349711623,1.10423767737581,1.11633527087066,1.1477732900205,1.17947288062254,1.22118544990672,1.26120581858467,1.27191475253847,1.31736273773355,1.35130566951785,1.37778792776822,1.42313326734226,1.43104763639208,1.45713734492139,1.5089330390119,1.5594152608488,1.60456015852158,1.64986974954685,1.64483927000021,1.66495902116004,1.70867226071925,1.73231171696055,1.78098163824484,1.81884572562533,1.83917854206463,1.85448071016338,1.90304245639823,1.97524039244756,2.03197274992746,2.08232168474539,2.12160965526563,2.14390873828174,2.21597723700584,2.30931823294061,2.38266268585463,2.41606391853469,2.47641762884303,2.50637139773357,2.53584925037209,2.60278296780423,2.70695379911554,2.78342996252537,2.81123956087751,2.86860212136475
demandNL-12,1,1.0230136380758,1.06517574651115,1.07585550212563,1.10065573597408,1.12854454582002,1.13419040225245,1.13979761478879,1.16629642259383,1.18541905410384,1.20795588642768,1.23874612669214,1.24132101186478,1.28095677028131,1.30577367701848,1.34265984008586,1.35637694828831,1.37972648646934,1.38722521101791,1.38236589731302,1.39672649975266,1.42496773724311,1.45769026826777,1.48093762278411,1.50284888841547,1.53668640209964,1.57288896285728,1.61289226762332,1.64645742610965,1.6948195026429,1.7242663565908,1.77863139565403,1.84295024922776,1.85403421329191,1.86726987737171,1.95330786325304,1.99922187556299,2.0572052013215,2.10919483345881,2.12508857159015,2.11794633131165,2.12850366689254,2.17596014912223,2.19410135322445,2.20318116895231,2.21144832320211,2.27981348434852,2.29787241267937,2.32913534850001,2.42325165641284
demandNL-13,1,1.03641247194448,1.03512772327147,1.06264474052805,1.07088551343365,1.11222008683195,1.12377788778229,1.13623772677531,1.15805606827633,1.18686841751267,1.19399438776378,1.2054184752659,1.23643754955797,1.25142435094761,1.25889210065402,1.30239872938562,1.35679934131377,1.40102592633131,1.41195811568785,1.42681849040568,1.46331689523271,1.47717966785311,1.48037428221009,1.48586179347169,1.54425039393003,1.54963858004217,1.5972115409345,1.60273368413751,1.62996980999115,1.67066475077065,1.69381758613776,1.71006625339534,1.76467781329639,1.81263550477755,1.87089824063245,1.89974516023726,1.99011456027234,2.00699434676094,2.06882060777191,2.10678873845813,2.13861180356871,2.15888990653039,2.20103771231614,2.26075976026137,2.30742787137917,2.32655966967829,2.36371945584466,2.40562121375002,2.50134800317985,2.49653364722571
demandNL-14,1,1.03567086465454,1.06364371370925,1.08291605928342,1.11705830242391,1.1444111531659,1.18317513044207,1.18765102041036,1.23380464763969,1.24917291109521,1.25992761256959,1.29918736090696,1.29646202816514,1.30635859372974,1.32408017113971,1.34604117501371,1.37568911207915,1.39888871150868,1.45113278476661,1.4748864223737,1.51534542478734,1.53396170112214,1.55978299702541,1.6307605397352,1.66932747537638,1.68658693127098,1.69834016806091,1.70632505236743,1.72814921748577,1.74588700339565,1.81315740034629,1.84577650791071,1.89140982731269,1.91491131361903,1.95296493356182,1.94867584033122,1.99050769280152,2.03133041688933,2.0999035116003,2.0867340635622,2.09543482894379,2.16844895806674,2.24270086994532,2.2516898289656,2.30071413801175,2.32904876962677,2.370877542258,2.44525904113026,2.4929702110687,2.59801511282478
demandNL-15,1,1.01872904672789,1.02873851347745,1.04464402144623,1.08957906383064,1.09225804031331,1.10626735571693,1.13483644013752,1.17666954262965,1.22554777563733,1.25885936681768,1.29641238012551,1.30664625426585,1.32530942049535,1.34385015661952,1.37614610935839,1.40602390166466,1.42691083826408,1.47427353765266,1.50004186237387,1.54858824076576,1.57777030118012,1.61559142242062,1.67903855155103,1.73009968837558,1.76275262462954,1.80263738775199,1.83930026437455,1.90633848434635,1.94814100876947,1.98898026965534,2.06487891110604,2.13360769400431,2.15399159043015,2.15725216789105,2.19850271342493,2.22293714154246,2.2732984793583,2.30557381407241,2.34171796460587,2.32759747038623,2.35169327012267,2.40688403973378,2.44396542973737,2.45683371365733,2.49991217554866,2.56593458960216,2.66090123835171,2.70125015322998,2.78397052509378
demandNL-16,1,1.04202986028987,1.04807195243331,1.05093529176307,1.07207631300238,1.09053402566436,1.11202700116257,1.13856996272768,1.1482962009639,1.19665254365224,1.21079498477426,1.24440128916305,1.26767478384123,1.27854570317439,1.29058821471289,1.34841387373251,1.36101072924681,1.38965287488536,1.43067751565841,1.46355290762259,1.521581791859,1.55243895968106,1.5758481397377,1.60663304118044,1.63281806042584,1.69421224272074,1.75465638595278,1.79797422079477,1.82522562027374,1.8285752617329,1.88037162930425,1.92398894460029,1.93869784161625,1.98144056237995,2.01305734567808,2.0210605410184,2.07920788606617,2.15330102665336,2.18892010509231,2.25289834909853,2.32994479112442,2.35567118279708,2.35912475602924,2.44005479471322,2.51814447464598,2.50619088148626,2.57543306233999,2.69556940122575,2.80114580718082,2.84921770312656
demandNL-17,1,1.01401208100318,1.026365852598,1.04818507882893,1.07243688706306,1.07346240203277,1.10395889198953,1.12844216108316,1.12108804960975,1.14663336157061,1.18482572111988,1.23754774563161,1.2513527954052,1.28113945119787,1.32029492292039,1.3655471701912,1.36155594673264,1.37681785293054,1.38554286343006,1.43738794674681,1.43637810288937,1.47058356517233,1.51701145590244,1.53420865992358,1.56051299452124,1.60432511777656,1.59466488126486,1.60996843502127,1.64100190341312,1.67571116041443,1.74662486705209,1.78105191162975,1.85341424223543,1.8951204129299,1.90305290733126,1.95174908796383,1.98323272877743,2.02744456530316,2.06987138922368,2.06972883367728,2.09896023824546,2.14059446895821,2.13385141001076,2.14841730612854,2.18121221478557,2.24899352808677,2.30916541292485,2.3696548894693,2.40748161341927,2.50067287016239
demandNL-18,1,1.01035536039156,1.05381583436509,1.07885574639277,1.10532010602387,1.12732481339864,1.13931355553121,1.18005286966598,1.18612206469349,1.19714430464276,1.22975194210915,1.25107504323616,1.29295195849624,1.33601044194222,1.36087187666716,1.35793923467967,1.41636034687622,1.443009338852,1.43842971442875,1.49124519531292,1.4953799982829,1.52298091397258,1.57877537234831,1.60462262413433,1.63427476019185,1.65404871939685,1.70175644489331,1.76876944336601,1.8122143226795,1.88849021318983,1.91864394828668,1.9596435299473,2.03572127207359,2.0683306533886,2.12432279286708,2.17353447836728,2.25184324696659,2.25001204453881,2.29074536659197,2.32527344020644,2.36614586243445,2.37204354973804,2.36291323066258,2.39790759260738,2.47032809217522,2.57259959718298,2.57300103210962,2.59622418119862,2.65058976221267,2.72670607253003
