,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
biomassPrice-1,4.5,4.53377866492594,4.55640736502996,4.46655231330865,4.35938814187402,4.48226626705761,4.60543207491071,4.60964439452029,4.53712604700111,4.72941666617519,4.91089921895931,4.84762488953213,4.90040958975045,5.00013952273919,5.0372694557833,4.91342922159577,5.1014109102435,5.26445573311725,5.41764533781619,5.43141014752884,5.43288088751503,5.39108332966407,5.503375540274,5.59281825311195,5.54899231412461,5.6619617467154,5.5840101108212,5.81134337288495,5.79012389964719,5.74188488330551,5.96343276804367,5.96576050068853,6.07045341666641,6.18785128223554,6.07052737386712,6.33546027736686,6.54016027513565,6.72800318269476,6.92207834737036,7.08427855584778,7.10799123297071,7.23422383108769,7.43775964688834,7.46447423822206,7.65309548112093,7.47730009559328,7.27994235359043,7.44935510008062,7.56551854454624,7.76807946823405
biomassPrice-2,4.5,4.5207852764402,4.59553134528822,4.68768011243201,4.69557001875937,4.76917788969725,4.67624849951671,4.75767980766789,4.88301145265105,4.88719092509316,5.05633378510492,5.10360966932943,5.11975959352129,5.09799695409606,5.11156673914688,5.09308880127105,5.275002720969,5.50238081397739,5.47530572780676,5.47624713037816,5.3630259151747,5.57364996956216,5.62999670564809,5.58476527956865,5.72787521983393,5.75782930678165,6.01071412502075,6.14307242126805,6.18291009506021,6.33247140482373,6.44779199696295,6.64004115971452,6.55598913540613,6.59536503569986,6.63835600672949,6.56700795093457,6.65651235648771,6.67213572025496,6.89995896250722,6.8898968720625,6.89796249661306,7.08806044008323,7.17350991659484,7.4641414122898,7.50743141341403,7.42307050525893,7.33531690694372,7.39975373283067,7.38537053405448,7.44663544448176
biomassPrice-3,4.5,4.56818584930219,4.75477550163819,4.72050882456671,4.83487891739208,4.85643283267661,5.04669907134299,5.15840606062592,5.33374012006346,5.40826281739719,5.40153341257674,5.32179257298346,5.31077693124473,5.35543134509455,5.39615515160502,5.41209818897878,5.66106324201765,5.53828570007407,5.58649230467157,5.69145718299208,5.83867685415874,5.75821456323594,5.953611529838,6.02298916538892,6.27263999989507,6.16920217712729,6.18307608354428,6.09081300091513,6.03817401848428,6.13622349665621,6.22686658944855,6.38651441665061,6.52680942971517,6.66511464597738,6.82680508497467,7.12202799198297,7.32681926397916,7.43778483209564,7.55787624316559,7.70295094033085,7.7702643457352,7.85466435691362,7.94208464978329,7.89811090716394,7.86004932139875,7.94211228092299,7.95008576652879,8.16671912352154,8.1497036167173,8.11720325823101
biomassPrice-4,4.5,4.39973137308095,4.37060727576963,4.38144620609217,4.48346120072184,4.57156094715962,4.54912335594741,4.62337093723908,4.5793869382453,4.70376485926666,4.73611076169593,4.76029813888846,4.7946310316597,4.94657266092316,4.89369028915527,4.90344227583886,4.94495235930822,4.89018237901117,4.88279687028361,4.97867620365262,5.01872382877545,5.12836604637913,5.15244386587081,5.2220390484634,5.27489028524971,5.32636172773932,5.37062295762381,5.37289382821687,5.49190338744065,5.51046662163281,5.58089262368002,5.68294525804891,5.83251686484213,5.72659800709463,5.84602355126298,5.85978740538343,5.83763282801515,5.81655619766953,5.75513361927952,5.8718479274878,6.03445536308031,6.15738742950197,6.13996671484571,6.01719115602473,6.13155610744721,6.25928446386041,6.55973803127996,6.78852161740887,6.88843657898783,6.92526265775814
biomassPrice-5,4.5,4.5231768702179,4.62251731082147,4.54356989665272,4.6382500501901,4.66655338087986,4.6609187470452,4.64067232997542,4.77097005985443,4.8633523712468,4.94810556892467,4.98837539621376,5.08643894032704,5.20528680851166,5.27553321162972,5.22329680389632,5.29130903274204,5.33259833853983,5.40842352456193,5.55533947072144,5.66476499487833,5.73317069105389,5.81872933184003,5.69436245622758,5.64349514904814,5.71884910346354,5.75194817746997,5.66257164663855,5.77670725451886,5.83587645189199,5.94089705174779,5.87734052851556,5.96051172054067,6.05740186220204,5.93908089528174,6.07153859732851,6.10528146299092,6.26793024696039,6.40370699735406,6.36345028090739,6.51087125517181,6.70111571553856,6.85386030419671,7.06651668024411,7.10532980924245,7.19453744532084,7.26978367131691,7.36506383462604,7.43811871691013,7.27708947291982
biomassPrice-6,4.5,4.51574218854042,4.52615351217124,4.58015028441038,4.6053217742868,4.67607470609912,4.59693194295144,4.65385929748171,4.74251518288176,4.78243972082126,4.65485796941061,4.75194691562978,4.72217663731352,4.76677161213834,4.90048528650081,4.90009791227284,5.03390335828936,5.02356245056868,5.00548355078933,4.91350920424377,4.84295294140609,4.96218517031525,5.18132009512012,5.24242244633187,5.38137411255985,5.39062519470512,5.47697786661468,5.53598431863484,5.55696002893227,5.62958908807254,5.79163839218555,5.79517033084499,6.00264939223904,6.19543113465774,6.27640094977106,6.2668759364588,6.26016681632335,6.27340773701186,6.34993175495018,6.29085534138016,6.15099615266005,6.31312447936843,6.56605614238662,6.76933865245241,6.8490831026411,7.00263258152812,7.12501183525096,7.15464978536057,7.19767869858144,7.19291273337005
biomassPrice-7,4.5,4.53037468877588,4.55898172662848,4.62780434678335,4.79617111427951,4.92412232025678,4.95298542769159,4.84774399242498,5.03026438964918,5.05337985166657,5.10604807701546,5.20866191444166,5.16846839619427,5.1917589966257,5.32024623688898,5.3982938105128,5.46756878491881,5.62047944659314,5.53749760732802,5.72912638334627,5.80337734302439,5.93760721790829,5.91520610861786,5.96484750354625,5.96581539916149,5.97304404994092,6.05765862215499,6.12402297799337,6.29291979434218,6.23565712710605,6.19153672991783,6.26752616317691,6.21766418861123,6.46297902959959,6.4173160364509,6.42217640601132,6.37342655183077,6.33057575047279,6.52023428757047,6.68921944517433,6.71443098376408,6.71524223178443,6.61029597305066,6.80977859337141,6.885365515372,7.09381760932522,7.30361070793597,7.34256882522718,7.35837621299854,7.4872001578585
biomassPrice-8,4.5,4.6295152538778,4.67744241796972,4.81590662234967,4.90167198768119,4.90506969803074,4.95115106822448,4.98582048942336,5.00235517868347,4.8941772281088,4.91985741218321,4.87318582967793,4.9048546133749,5.04237750818392,5.06266372410999,5.20597644510127,5.29332533698753,5.3573285714978,5.3281380931526,5.17941624254961,5.17932435733102,5.34716462069411,5.35520975552154,5.36631290882478,5.44081079378323,5.54299404708002,5.66686813410834,5.83973407974778,5.99517330119322,6.19796556497223,6.08556602804663,6.07266542880627,6.27031430830642,6.48977838923118,6.43850203519191,6.53390538156896,6.56338193374743,6.46715739033586,6.41894913497014,6.49697969537123,6.59964018543095,6.75242351483575,6.71689664047238,6.80407129055093,6.76577148403394,6.90713122518503,6.99455189972556,7.14887024999336,7.28917407611937,7.24555169911543
biomassPrice-9,4.5,4.47887627525118,4.62332123122754,4.81467469199581,4.8831885174909,4.8345132985203,4.9312855101709,4.87416785160374,4.95047933994078,4.86914602579091,4.93433184207518,4.8343223819016,4.79010088627145,4.69841478948155,4.82734821419357,4.83727485434973,4.85410758877939,4.85753233202739,4.8765583651177,4.95642988075117,5.00708170906214,5.04706894320743,4.97008972214087,5.08615770589325,5.11966484725506,5.20431369205755,5.31689444370125,5.36246139765152,5.60316734859818,5.60534893324113,5.67927062649356,5.82315639526148,6.0332706094618,5.94484854361439,6.12562348841581,6.29104544628587,6.38327947586165,6.39900699496343,6.38817406340558,6.4829636124253,6.60763938373607,6.53619680154907,6.59842129867061,6.75007834778906,6.75651010981283,6.70054738570016,6.69061291024479,6.84208297352128,6.84896081253964,6.92354099546821
biomassPrice-10,4.5,4.63352631937838,4.56219807736416,4.62447283463104,4.57202142335559,4.52528262264132,4.54977330860332,4.54612947524983,4.49507512555434,4.53167199164639,4.56026969566032,4.5302273507793,4.48854133514723,4.53350035787506,4.54048127800433,4.58381809771361,4.76681412361896,4.75132128380685,4.75341945217095,4.80882816381252,4.75515383277058,4.81226099799372,4.92799928041099,4.84081638849961,4.84422044985786,4.94382170856207,5.10541283789657,5.35215515291343,5.34449309037513,5.29279623620327,5.33947727702604,5.30354340181993,5.51441269735475,5.65946628961051,5.6539584490177,5.89066481579002,5.7877853988141,5.84121663706026,5.97459384418974,6.04745502311178,6.26504828241596,6.2917565745643,6.44258178761755,6.46782224743792,6.48801407244156,6.47862427308988,6.50116268921812,6.55033063958147,6.72854273615974,6.8160993802743
biomassPrice-11,4.5,4.50432292995824,4.59257807711944,4.67024771119866,4.62525106678148,4.65044178446933,4.70639901084486,4.88503458598281,4.96696178375089,5.05939684963911,5.18827169411598,5.07674674101289,5.17161549141181,5.11322908028437,5.07117243796845,5.10889467529034,5.12992124818736,5.10299469187775,5.05656304723536,5.19659553055413,5.14052853524004,5.24071110793622,5.15020042395424,5.16545169187136,5.07268948358283,5.10173223432367,5.08119485466164,5.09849676794727,5.07458273256329,5.19128390367708,5.3803737618897,5.2771891397986,5.17496690130644,5.27332018097932,5.34434337473628,5.31943011393317,5.31911828210966,5.23714008040418,5.36870948470403,5.41560869154938,5.46338453912905,5.48567456690806,5.48222940177187,5.61855023066676,5.81411637575246,5.75545549208288,5.90763817085438,5.95483859002386,5.87282233448366,5.85500763980748
biomassPrice-12,4.5,4.49498245744094,4.58952531420033,4.58959725030962,4.65424135274098,4.65189171181356,4.77845884106248,4.7905350009689,4.93426141007852,5.09569647269793,5.15545665879749,5.32122830326622,5.25455860698293,5.24810371918291,5.29883429173591,5.54166985797172,5.44629002288742,5.56674382342938,5.57309888854818,5.64327127282138,5.64833533137522,5.54601834265162,5.41864386406407,5.51549701870494,5.55215045613249,5.68081317970398,5.76768399770794,5.92519341985661,5.95824189572793,6.11459270852052,5.97760663098243,6.0731280788441,6.19010799561582,6.42396094014552,6.38832196824944,6.37022285742632,6.23856290113056,6.29179554122027,6.20070745310393,6.42507563961961,6.43357531799671,6.34283194700245,6.53361331946827,6.53016474770602,6.79346522211534,6.77876331370149,6.90311064327493,7.03335186626086,7.27638990412048,7.48993618019208
biomassPrice-13,4.5,4.53118684543025,4.55738940589501,4.52760065811378,4.42985809786902,4.31070242606241,4.37295573907035,4.40744799964499,4.54639200741002,4.56583634564987,4.65502459628381,4.5618864133518,4.57762951013594,4.46825707071738,4.46013672300587,4.49873902714801,4.62814623027052,4.72581228528228,4.63241842252793,4.81293546081871,4.89669081259883,5.05637157658153,5.10798952548641,5.24110554491868,5.13731354866184,5.22939145278536,5.15333135297795,5.23502739843076,5.42152305296267,5.32529511436857,5.37318272029796,5.40228870035251,5.38540177984248,5.54357783820517,5.67750184912446,5.62970292448421,5.88023238132226,5.98063112623003,6.01713904515668,5.89115567723418,5.96223014565489,6.02305640362677,5.98512946214439,5.9449658195827,6.07136191636863,6.02966011126979,6.19690551013836,6.19030210867105,6.4287119318701,6.59623376779258
biomassPrice-14,4.5,4.68023332896007,4.71293788083635,4.77541907120529,4.95178406149806,4.87334726916203,4.93333071812111,5.02303712032805,5.09019285994072,4.97667769779347,5.11063937237626,5.2108854486108,5.40252113861055,5.45484034878984,5.49435602790543,5.59083333607741,5.74068395330127,5.83181644391924,5.86030163175141,5.9905468961588,6.01465707238888,6.09040171679501,6.16158162793034,6.33275754325808,6.25965104001456,6.40504396779234,6.40718774502843,6.48147768102202,6.50663633904983,6.45834373361334,6.35449256188084,6.35386165329587,6.22651565531318,6.18916459309065,6.08594300215253,5.99822076609371,6.0414874753788,6.05590614198799,6.16592460521663,6.38383963331786,6.66221837754206,6.91021564678575,7.19403416930375,7.14987785645586,7.27128201435763,7.21841830017198,7.35385896951716,7.43835338973451,7.44989415432793,7.74707085883382
biomassPrice-15,4.5,4.48332816291708,4.4659121370761,4.54115122804428,4.56529007763069,4.61348087003268,4.57922703056794,4.4746545969588,4.47931773277833,4.51253989458884,4.58936261681856,4.78517640064296,4.83632060893156,4.72942424063842,4.80094585743138,5.02587087380852,5.00951910571249,4.97174017697069,5.20372934816702,5.12505134432873,5.22150095737754,5.27471273337044,5.42740887949383,5.48074990335289,5.53878628522713,5.49604787750328,5.47257559081137,5.39981790631592,5.3534466511304,5.41678857790223,5.35167134081675,5.32890290891098,5.21518491617551,5.18851309404315,5.23520054561355,5.29346779559429,5.40335968477462,5.62869541423904,5.50872911262065,5.61495245556992,5.68421915827218,5.86146993330485,5.79775838124283,5.76577978897448,5.97639040784696,5.9911162208759,6.10199281149174,5.97791144154586,6.05905884150679,6.05529742027059
biomassPrice-16,4.5,4.58553870618928,4.79263718256257,4.80905180486031,4.86144271307201,4.95149381706166,4.9984655036626,5.0338771274854,5.1054129507119,5.1485497281778,5.39777639704638,5.46663581976642,5.45042948807369,5.46734442850569,5.51373174172867,5.67838767499548,5.67019507430569,5.76728004903044,5.8992199726839,5.76417135374394,5.81415198890147,5.82033753520516,5.78986906379387,5.89165361026065,6.08079397543133,6.26472616369077,6.2119257854326,6.28478201290903,6.24595801203963,6.23290400617502,6.12729201293922,6.32093815099666,6.42380087798096,6.32155181743998,6.465772062145,6.51295620114684,6.51561718863627,6.65886130312609,6.51607980873757,6.72514380204888,6.75499302838376,6.87181416576176,6.86051422585582,6.86273329408116,7.02390904947001,7.23055311425894,7.36045109823863,7.22367654666872,7.46163621629394,7.70655274223337
biomassPrice-17,4.5,4.65186301088956,4.78634283643192,4.84723769344662,4.82395484873518,4.78728787191006,4.9021941624406,4.85021019528473,4.82974626050653,4.90685243012994,4.8950604900005,5.01280887869103,5.13297535138811,5.15956297474486,5.10208690823871,5.09511793299683,5.01218540506806,5.02369611983946,5.00888829271726,5.06107425195114,5.1554628088626,5.29814946219392,5.46783891860285,5.52724830273166,5.45239703341672,5.58330474562752,5.62558608325518,5.72865392139046,5.8827672724114,5.90671898269906,5.93618172727561,5.86938275508797,5.7668577962474,5.65836422424773,5.64403617923125,5.64960847059392,5.64918771422761,5.89758747371967,5.94685943390776,5.88871961422732,5.97403873936978,6.03449018518978,5.93573503468946,5.9311997538188,6.11530871533782,6.28549123159232,6.23083943722329,6.06833103824,6.18842808902908,6.26261091618148
biomassPrice-18,4.5,4.46241281252156,4.48190325062411,4.5670550410208,4.58525144747834,4.74413071450081,4.80936323728375,4.8763923346372,5.0037893615305,5.00336287033024,5.01003397410706,4.95231983302255,4.93099066031147,5.06720114732396,5.13172995696059,5.17745474268396,5.27694164051426,5.4557691887782,5.6327091455944,5.72464413853502,5.67796871360807,5.74234236206249,5.79539241196716,6.05210852491131,5.95754031713008,6.00858819075196,5.99055394309261,6.04085422215982,6.10398594725012,6.07855259035477,6.29821639319867,6.26536905551532,6.16270632665935,6.28209626714844,6.25027330530223,6.39112306476671,6.39653502342598,6.46804802149537,6.53771507771695,6.42032225046751,6.4598354666484,6.55788368837695,6.79023853687414,6.93926136401045,6.91681884672388,7.06667666138492,7.17550331774265,7.24763464146057,7.21689938093933,7.43658655273131
biomassPrice-19,4.5,4.47557441591443,4.51361310158036,4.42676220027515,4.48786274919478,4.54446257367969,4.64491072226381,4.73003540635488,4.86908903173331,4.89672037448741,4.97517198593634,5.07215126877085,5.18076211959841,5.25368746351152,5.32439074822302,5.24443261436452,5.29148772911682,5.26278691496254,5.26799323199983,5.29571244373664,5.41297456149541,5.61065688365376,5.67273797717353,5.62259895558454,5.62551430703814,5.8673736763211,5.98242910775231,5.96388539988145,6.0901795558083,6.17165534703303,6.38648016681076,6.53092054950625,6.59309682298406,6.51460448395913,6.53847325905046,6.60467894814109,6.57470859811314,6.62236351128155,6.54634432656456,6.8497838759638,6.85924344802166,7.0691042616415,7.15105736896979,7.26975074860083,7.24187050654322,7.3759800290071,7.37785273008195,7.37866954617172,7.39831656824578,7.44428346615556
biomassPrice-20,4.5,4.5268151877092,4.58847438881833,4.47799117545351,4.54464238886549,4.56280841898904,4.52472950426826,4.64415415264084,4.72066910899748,4.82056328805691,4.85580950215959,4.886008628336,5.03528007413845,5.06401588302291,5.16893390475665,5.26873248722202,5.34213919357548,5.35605771985276,5.4036579205551,5.43464543910786,5.56171507036302,5.76552146044605,5.84843477595515,6.01452709709826,6.11073895036876,6.2846581855981,6.39743771404776,6.53853123021248,6.82030910097263,7.09461736638173,7.31552908914941,7.28141427784477,7.38380312807716,7.29764644595819,7.42587541040565,7.48459558435636,7.3846178195268,7.7064526460826,7.67590048304153,7.72419393848832,7.90738701188732,8.09372839417146,8.07212272697613,8.33186044682446,8.31153465223617,8.27809763698496,8.19182397272237,8.22336196325493,8.28491641456333,8.2615552626765
