,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
coalPrice-1,3.6,3.54563668386514,3.58071913470706,3.68607632917655,3.78236700775027,3.81942877018568,3.89478139716956,3.87290664695843,3.92059580211884,3.96600315516344,3.98941509665542,4.0247661208922,4.04818615660508,4.06639853790025,4.1887086212373,4.20873251553765,4.14381894283806,4.29830665155635,4.24037589564891,4.25450895875884,4.32187680427746,4.41271799831364,4.47349786835613,4.52162051727352,4.64621460390361,4.78832787463867,4.93835364030754,5.07798126982657,5.10807970567283,5.28654556627182,5.42492291739991,5.61500044971958,5.66930996675124,5.77893385470914,5.87901182265675,5.95267284276975,5.93368711953687,5.9293488181283,6.02260103100069,5.99615507355603,5.99305737451028,6.06336514543583,5.94437392866411,5.90844492157042,5.97787791693598,6.09284540540617,6.16471417910832,6.19315119124617,6.22010509069726,6.3060365161459
coalPrice-2,3.6,3.68637052851826,3.763608863889,3.89227134901655,4.02347028946618,4.04889508900103,3.9991434121842,4.10781146477093,4.17488292436241,4.26232258107144,4.28721383110896,4.41484306756023,4.52883667847775,4.58557812374892,4.6593394357034,4.69035239005056,4.79268353607115,4.99665560955718,5.18738982598619,5.0811495086373,5.07733546106151,4.98776742721707,5.10172863218745,5.092483949043,5.19083279489333,5.1862698677038,5.32633224879882,5.27938614719695,5.28577655048048,5.27978214897304,5.3701420207079,5.37406224117001,5.42798635183817,5.3807104777353,5.41949043674327,5.33293562551588,5.53493603495026,5.48804762098492,5.51379258708466,5.71721275836223,5.80349781735573,5.91311182395111,6.00507526562149,5.88291849329397,5.9406192488078,6.02177018046207,6.0813808420779,6.18159812021961,6.01859788660391,6.17633913234102
coalPrice-3,3.6,3.6383392927895,3.69565893448092,3.77767371070313,3.79276392710808,3.79370880167291,3.88282398107769,3.88597925405679,3.90026500963611,3.87293214899633,3.86643167259342,3.83812299946675,3.83365319593601,3.90429579178765,3.95395552642474,3.93509569596916,3.9559799122445,3.94340534914965,3.90822225428212,3.96460312820304,3.97554534964837,4.01841203406173,4.10326040724771,4.17177381369562,4.12753908286319,4.09767970238997,4.02590900911231,4.0012577619575,3.96145493321114,4.04310096691884,4.07340829252728,4.17262239434606,4.16409780356112,4.25033386100571,4.29435367413423,4.32093860419127,4.36238933996212,4.24522941271523,4.38493916498906,4.56735399065624,4.6015552305669,4.66710871923884,4.82216031605539,4.78969632832054,4.75615598872452,4.9159382998219,4.93442395977849,5.08826945172681,5.14529433443766,5.11109612954038
coalPrice-4,3.6,3.75691740657802,3.77875871270858,3.79694137767134,3.90677936070252,3.81176529225685,3.88977452306123,4.00297453931712,4.17178645421089,4.15725124354848,4.09402699000814,4.18259181260673,4.28988616713957,4.37102835770792,4.37909573522314,4.43321811953069,4.46908732098245,4.47003451109576,4.47106065669301,4.43784217429716,4.53297442606988,4.60994602171583,4.64108938188849,4.60901318341366,4.69710575148884,4.60019087974497,4.69207829819756,4.59264078039788,4.72165500009627,4.72473368068685,4.82193132648176,4.84197164218683,4.90735958873996,5.0182701877911,5.14245155244873,5.28777509474191,5.46531622443591,5.53204044182215,5.60269307341333,5.44420886660696,5.55844907531887,5.43087815108882,5.57312609141382,5.601458439319,5.46211716997931,5.50915369036483,5.39966298609214,5.44771359994058,5.60760808833568,5.67517042222251
coalPrice-5,3.6,3.62726294041486,3.71179843133501,3.86583743545923,3.84190901252023,3.92924964119462,3.99785010037902,4.06434502276243,4.21143392747988,4.15405878674113,4.19747826238669,4.14455433647616,4.15071675489367,4.26145078417352,4.27896889476436,4.30055657747107,4.32254884783026,4.32353018262745,4.36840626369,4.43305584315171,4.47551535971111,4.53254902718672,4.62152327947938,4.66702922672074,4.73782779654389,4.80534179267823,4.85366491605512,5.03357875935436,4.94820629561177,5.11074958706577,5.10675934658003,5.09665457208959,5.21358934308491,5.36778912940364,5.3777610732622,5.47810797664891,5.59578444991612,5.6986384206161,5.84997698834245,5.85280385141152,6.01799970403987,6.04719563140871,5.86908483234448,5.85295888359352,5.94384682134514,6.05892709899675,6.02201476443404,6.12010675434212,6.10279081694777,5.95166896208544
coalPrice-6,3.6,3.59664798644034,3.60088589927021,3.70755647987082,3.8232645722698,3.74060298674128,3.74305747390564,3.63730567149753,3.60374690101244,3.66167529199002,3.80066567220262,3.88591991872381,4.00406618576323,4.12303444104863,4.2718443355516,4.21015208794764,4.36779316135101,4.46615847654245,4.52314378676254,4.60921425817693,4.73056125696569,4.73500948779936,4.79858390875157,4.77308152214157,4.81410472338651,4.99630938955357,5.04056838867664,5.17407525588229,5.06052831194137,5.12246546699774,5.06213023451645,5.26210414124902,5.40404053508244,5.44986376476496,5.32535619819216,5.19989257536617,5.25863132275171,5.31637922442122,5.31689341495076,5.34673055818179,5.58882714563721,5.78629233614859,5.83562601738733,5.88606781751177,5.98764703889156,6.0611062055063,6.14258121646968,6.0842047157104,6.19502599659341,6.06153645094034
coalPrice-7,3.6,3.65178459187269,3.56570462367746,3.56881155330387,3.54424991683936,3.6503717307698,3.73449314376863,3.76980855480918,3.80521751352153,3.91994940773474,3.87684045019081,3.94328332352836,4.00081241079361,4.04830378374181,4.08484736061493,4.12204509220811,4.16964465870588,4.20475661314944,4.27996027898022,4.35658303981093,4.36246187702761,4.56270128694875,4.6787595992785,4.73833109128618,4.9099274042374,5.09199041047279,5.0391449693867,4.97609510951054,4.89785234347561,4.90193031409375,4.98410683381985,4.98167919847528,4.98081898835563,4.98611651774891,5.1396420656615,5.21154502079384,5.18343364469394,5.32292720114631,5.31108741597629,5.32268428497267,5.32631777380623,5.32895965293133,5.35671671522979,5.34205659201786,5.3405621649957,5.30526597865522,5.31366960302427,5.25468167984331,5.30179658756007,5.38035064773415
coalPrice-8,3.6,3.56969199105322,3.72286704051148,3.78658446190585,3.92505824288777,4.03204532660436,4.02034154290468,4.08130302527901,4.17721640642208,4.13253563769365,4.10051900489049,4.17706952875089,4.24465892793186,4.3877295023896,4.46150061830494,4.46466419847278,4.50384444268586,4.63218857306926,4.59041744308329,4.498130958936,4.51633122113727,4.71299576608092,4.82176825168679,4.84382373244916,4.88623473446698,4.9430211974861,4.90316432342411,4.97862788646204,4.92541872627907,5.0804704173781,5.25980829423573,5.42234369460672,5.36072547753119,5.49672870958547,5.72639580311523,5.83273776854686,5.78827464535089,5.79130067906662,5.73060959025067,5.58364556311911,5.76930806919629,5.78644141719696,5.69535143779491,5.61637658240426,5.58984493952461,5.7368707711821,5.80849759894939,5.94877110679476,6.06428118643594,6.0195318355918
coalPrice-9,3.6,3.59929385551714,3.61136618329697,3.67425062242664,3.72869718611866,3.72705767329948,3.69474340293572,3.72924429240276,3.70676912841091,3.708985982016,3.77806380664137,3.87445062951631,3.91033015494948,3.97576916579243,3.87801372228079,4.03424867103688,4.06805415895632,4.06148826008832,4.08498686818077,4.17422964450405,4.2119122153358,4.31326813247243,4.42601089085608,4.56793971204667,4.71484708588821,4.83810077466301,4.92799261670238,4.95125173981542,4.95473981884932,5.06865094331198,4.99937562742425,5.12396044388844,5.21178399998052,5.21928787880863,5.18880319904805,5.0753646534043,5.04840228866925,5.06458114723223,5.06168223677362,5.17509587113066,5.2347664248208,5.42121147421874,5.50912771565619,5.59065720487226,5.64567873770463,5.76551188120954,5.76102487617929,5.83655078493243,5.82096507792702,5.90556880750659
coalPrice-10,3.6,3.63215237653477,3.65508939863026,3.56903207132763,3.62484285894515,3.61341775603761,3.57524038016253,3.56769992214891,3.64699843537322,3.64848038836139,3.59666753621364,3.63668408441607,3.60396494885496,3.54024415832523,3.53346985291473,3.6429618871157,3.64444692414384,3.76892582389703,3.82921937531708,3.92841243731272,3.83852806930861,3.7313685668118,3.79214179001388,3.78242358802367,3.82908801177162,3.79900896056281,3.70627027290516,3.71613795582939,3.81177379972333,3.8984184663898,4.02364582803427,4.01053317265186,4.15988516871167,4.13199106110093,4.0848203589513,4.11165827443393,4.06178126127896,4.06043132699689,4.08762082331841,4.21483533842318,4.27543724809215,4.43921678235353,4.44712077116315,4.52036950583312,4.62158492464337,4.81221082540478,4.7163923655131,4.85422308775839,4.9186144747803,4.98298190826544
coalPrice-11,3.6,3.68144254220871,3.77600953255561,3.76287759215432,3.78713588398447,3.781735384853,3.79143049538395,3.81428936153785,3.86060306608021,3.94802392473175,4.0859728244882,4.11777236064853,4.15732287546714,4.08323324674062,4.142915118878,4.15363019919864,4.17939369853606,4.32350736526271,4.24983648661768,4.23857740615593,4.41335277835019,4.46396461521283,4.571092982803,4.63049478664461,4.62424997858432,4.69601074584351,4.71043765430056,4.71072010578004,4.68652904271547,4.58608821222847,4.70963330796025,4.84563747563625,4.88145582782222,5.05010095102944,5.05101607347371,5.08252772254103,5.18229032706448,5.20168837260418,5.27579421897095,5.18934513142914,5.25911397872467,5.44055754653233,5.43657687183234,5.61615202545914,5.63799713814584,5.87425031712695,5.95547511154605,6.0374466712855,6.12963866471812,6.17156954726994
coalPrice-12,3.6,3.73811647364323,3.71210302676902,3.77854826995728,3.91134744725902,4.0383015726564,4.00808829539131,4.05501214900992,4.20066368270995,4.19711229363436,4.1893651085656,4.36969184660412,4.41805930424563,4.59357136522433,4.69474317080245,4.66688134660892,4.55254126514849,4.56507540357269,4.61537363296209,4.73308297970288,4.85704760176715,4.9442082256414,4.85615040932979,4.99358044400789,4.90225897977697,4.98651213836172,5.0647573280198,5.11921057708287,5.31665134599743,5.33514894944401,5.44441906619112,5.44734803382189,5.44605650466662,5.54908387711428,5.48520103778347,5.5333852228745,5.6308851002695,5.82172766383458,6.01360805418144,6.11535475506906,6.27329185328598,6.32780415330959,6.52160517188886,6.51808337718729,6.61042503405056,6.56795422034929,6.52366400351959,6.69784178912293,6.81142661646677,6.90469830956763
