,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
gasPrice-1,9.02,9.37747556864079,9.58145996327829,9.6786062982574,9.95206881861164,10.1955720940875,10.2121782501522,9.99737118387092,9.85096491237096,10.1223798595503,10.4318738507571,10.7501042423437,10.6262860279267,10.7355137380652,10.823450481508,10.9136506292767,10.7737104807025,10.7796829874833,10.6132740538026,10.605651177511,10.7590477941484,11.0308350151119,10.9257635708208,10.8678463012298,11.0301491607875,10.9060908443281,10.8255017587803,11.3218075929681,11.6206361554708,11.5400730975271,11.7244125731577,12.1719489996944,12.2895822259189,12.7255702386388,12.7929472540627,12.8375856135847,12.7356617610438,12.8092002495069,13.0393349545262,13.1148923241677,13.3315533199449,13.3820066425985,13.4285669035661,13.3505671549056,13.5431549975443,13.6261778322088,13.9841768024149,14.2459908357433,14.7017582866475,14.9988835363818
gasPrice-2,9.02,9.09843078148515,9.31491100561324,9.34039219831384,9.61932801503882,9.87001297548822,10.0296713812732,10.0199614524619,10.0684813657057,10.158531631894,10.1956370554726,10.0638398239916,10.3008389675249,10.4312505084432,10.2355869757817,10.087922676192,10.2213361053882,10.068824399924,10.0681746971532,9.89931518083515,10.2482146829298,10.6369201558158,10.5080078571746,10.3714247688958,10.8561319053461,10.9532051962252,11.15641362543,11.3429785850537,11.5966677347312,11.6026126661196,11.6887640302043,11.4177939232899,11.3913120383541,11.2490573402271,11.311972729578,11.1854287985918,11.4087606840535,11.5937496004325,12.0125411326812,11.8698549427327,11.8896707317086,11.8375675081512,11.9714997797645,11.9728623225583,12.2600560775047,12.3941916231368,12.5604707736236,12.7629070797482,12.7955195092746,12.9029977431106
gasPrice-3,9.02,9.25604155407772,9.40707726623021,9.60868397517951,9.89145900949809,9.79208292557824,9.8634665716256,10.2751851598085,10.3274294609381,10.407106384305,10.4143047835283,10.624479966706,10.9869368736054,11.147219080772,11.0396614322371,11.0644794699745,10.865746815491,10.736761354711,10.8914548322813,11.1631956689905,11.1950874838781,11.0901849139051,11.4257000581423,11.4627623761405,11.2416354804673,11.651903148636,11.3565653063445,11.3479956088035,11.7457313092418,11.8707708844443,12.4525975285811,12.7321706787216,12.8368058412411,13.0870401327929,13.2118762313433,13.1535940782442,13.5621654984844,13.2634029996348,13.4616971100415,13.4968925435866,13.6187535174337,13.8843802843367,14.5011596231328,14.6918925795964,14.6703600376469,14.8079526936421,15.1279055141538,15.5323558746181,15.4279727905171,15.5863195116395
gasPrice-4,9.02,9.23275931116621,9.37678231916465,9.48633452670403,9.53397986237206,9.35101096097673,9.33412888254301,9.64023487198225,9.61642048856774,9.63862329928086,9.7315327505272,10.1547569736042,10.1658739242167,10.2700675367032,10.4319993675973,10.3917230436692,10.4769020439444,10.7242199199695,10.9490999748352,11.3201604576995,11.4587893071858,11.5308744246192,11.7904191080509,12.0884390081925,12.3028721980966,12.7469546928354,12.9610065408465,13.2457840700298,13.3570363064782,13.8348971678703,13.5987659163711,13.6115591247629,13.6941319416517,13.9641825431294,13.9768397385027,14.3923135767543,14.6819177983014,14.695659917744,14.9191429915129,15.0922207128975,15.0955418086158,15.1812466698006,15.294026062389,15.1957569102163,14.9728181823093,14.98176564138,15.1613122382899,15.3968129141483,15.849235323837,16.2984015977486
gasPrice-5,9.02,8.92552561314209,8.88241956292209,9.15773255605966,9.34150193018388,9.25970007821248,9.51028052373829,9.69966621930722,9.72708525713566,9.89009227987467,9.85526996992479,9.94462286984824,9.98000956148439,9.98129564911868,9.94052422841503,9.82305827885455,9.73878128243657,9.86817594706985,9.72879031569562,9.86256547218291,9.97785215605403,10.1272581874049,10.491895630709,10.7480526510081,10.7587999423785,10.8534497181019,10.7448203819248,10.6545372983271,10.589651088978,10.5747671481821,10.7565909258755,10.8760690087889,10.9450151969238,10.8997065126756,11.0758344377249,11.3570305840558,11.5558924961171,11.8674303415422,11.6071553130097,11.821140828287,12.0215665599678,12.1971158511755,12.4358233182858,12.612648781233,12.4386587811392,12.1525481234013,12.2017492437472,12.4283806567217,12.3643407831147,12.7385264952634
gasPrice-6,9.02,9.11835156980782,9.25321354093121,9.40341440557147,9.46087430052034,9.65025639155264,9.5423870072245,9.82578524214221,9.77671508964307,9.85152295005706,10.0397988055695,10.1589025709411,10.2369910179285,10.0643107622895,9.92601376028181,10.0167273884885,9.85192971021434,10.0270368313922,10.2183952360539,10.2068609472188,10.0854160881061,10.2336259657154,10.5751667966183,10.336159164186,10.46622922877,10.46036381426,10.9380298655036,11.2000730908479,11.6536574942505,11.688451029695,11.9718886746626,12.0195335029146,12.1612785468643,11.9903639781896,12.2473932609086,12.2797287973627,12.4947699870343,12.6850085712157,12.9463274714974,13.3864305411895,13.2871208667872,13.8189630534588,13.6640746456986,13.9782235244078,13.9392705730229,14.2664914097685,14.4660714568912,14.4782321532618,14.8286270427576,14.9027448140263
gasPrice-7,9.02,9.24321252325035,9.16174258520095,9.37617719016718,9.43677939634737,9.48596604368222,9.39049262481463,9.39828491110429,9.33467653556003,9.26007721144632,9.51108743923536,9.7624848750705,9.83184820651946,9.95246873225168,9.77759217810279,10.2146904304858,10.1732967184597,10.2189457599435,10.5399252960702,10.7308160030441,10.9895305638965,11.0698919620392,10.8808924709166,10.8072535697795,11.090486377567,11.0739178326011,11.3608859963144,11.5555823197347,11.6297130081902,11.7045544288243,11.7512641822454,11.667328990615,11.6493042655401,11.4256416008617,11.5381575002568,11.5925498723681,11.4950693229998,11.6377898914154,11.7214430157158,11.9515910907382,12.1493223380795,12.6470098736286,12.6675471866513,13.0950434845718,12.8615284804932,13.0271800729124,13.075405444652,13.0211841830255,13.2968006240271,13.4207617814138
gasPrice-8,9.02,8.97935666958507,8.79817444386543,8.90942333989745,9.21798870942962,9.51101028584754,9.48577860204748,9.52998681654335,9.76038832230318,9.71348638493864,9.57768163099035,9.6645558823923,9.71238727605718,9.86963385016247,9.88847639547672,10.1269115352312,10.0969416178424,10.0363722857491,10.5124867276889,10.3485382806291,10.1391385166946,10.2985437844916,10.3450932894149,10.4751076815174,10.6846344305008,10.9621244401513,10.7883856146389,10.999784175435,10.8908845604826,11.0057295015599,11.3919541136966,11.7382097142328,12.1911933702573,12.0488107861544,12.5397926784881,12.7817350650978,12.7306178556391,13.1418808715695,13.125279658658,12.9300509121843,13.0753538384321,13.4322654260775,13.1988013913479,12.8951923189927,13.0794167259164,13.1737935187159,13.7513151276939,13.896289602788,14.037231165996,14.0241472941701
gasPrice-9,9.02,9.0140033589812,9.17043210010057,9.39258108363984,9.68439057291256,10.0524603404724,10.446308848135,10.4816449200146,10.5404957043386,10.3685222049388,10.3925579737686,10.3577993764623,10.470372927149,10.4976843118323,10.3874403738982,10.3717751960148,10.7869857346874,10.8893201743511,11.116992367211,11.3472021616897,11.6085014976603,11.4949782735559,11.4691395574146,11.9039554257432,11.7688566318413,12.0562121401648,12.2278775100078,12.6050345282845,12.590528365458,12.6398024615675,12.3882724311353,12.2011807328339,12.5481396249183,12.8128470216757,13.0094253878591,12.864560385795,12.7163209815694,12.8808422061402,13.1436935716676,13.1896737487785,13.0901030062043,13.070228610473,12.8108579496383,12.6312091865458,12.6006384222508,12.7127912639474,12.9338760107604,13.4672367167029,13.7024468976324,13.9965230569514
gasPrice-10,9.02,9.04095013506627,9.14040024006792,9.43106147497092,9.59388448187101,9.65802553967486,9.58709006914191,9.93200771457958,9.87679008427289,9.92058186366407,10.2019719884086,10.169290868983,10.3416846659948,10.7376725136659,10.8132049879008,10.9238591777162,10.7504129427857,10.6755271244228,10.6788333742832,10.9106956867292,11.1560551868127,11.351930315525,11.2680825601709,11.3041954497152,11.2956623569049,11.4878936672962,11.6406693899428,11.8492317647753,11.7277569970672,11.9226205548693,12.1529538450952,12.3230139436841,12.2342989691221,12.0644399788603,12.6143221369636,13.0110406858361,13.2379870108924,13.4541591090792,13.7496734100699,13.9179491207011,14.397038292724,14.5193625694829,14.8035484173905,14.7759497911126,15.0390546174802,15.5506930853906,15.5726133075933,15.9594870525977,16.2903053689749,16.0968820160771
