,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
lignitePrice-1,1.428,1.43658190181822,1.42714681424054,1.42037349235586,1.42784907761388,1.41641428609172,1.40839147284658,1.4040831984155,1.40797621300641,1.40891373186167,1.40632364392502,1.40885099137469,1.40853134444092,1.4100205451708,1.40174977092243,1.40724714363568,1.41337725918866,1.4164187100196,1.41439982199935,1.41812319050953,1.42120898985591,1.42035865555913,1.4182351770147,1.41614643742882,1.41220443296807,1.41252514819721,1.4093482938722,1.40080954841221,1.41164443613124,1.4038358465758,1.40941177376945,1.4094071138749,1.41139005530567,1.41290267532154,1.41022039219027,1.41352375609926,1.40714118828381,1.41690469889036,1.41750696804248,1.42100564876426,1.42539415409256,1.41607559122153,1.41462495877231,1.40768709710736,1.40254641013664,1.40701408245837,1.4009759054744,1.39082752769837,1.38875845153539,1.38613198439392
lignitePrice-2,1.428,1.44034095273633,1.43516488638607,1.43559024372881,1.42671885983513,1.42022164647181,1.42173613098241,1.4282992970926,1.42953139151691,1.42713198002451,1.42517409848227,1.41579538474627,1.41741737616324,1.41846107463902,1.426926744037,1.42451427967079,1.42308468073937,1.42360476330988,1.41918316084099,1.4269910848902,1.43154976559824,1.42270671170767,1.42326910571401,1.42956647472052,1.42732867368876,1.43363898626292,1.43380945062426,1.43372109722009,1.43998216606768,1.44098731868052,1.43732416738996,1.43648155959606,1.43656774591101,1.43484428702665,1.43644939687697,1.43583830022391,1.42687591864702,1.42961728285724,1.43187223372238,1.43158557614651,1.43712306103229,1.43536738373061,1.42898804988798,1.43418110829088,1.42308807549808,1.4260765366662,1.43078599671804,1.43473881974136,1.4285685409503,1.43326626710403
lignitePrice-3,1.428,1.42906137664571,1.41736874903307,1.41954134572004,1.4122832810625,1.40758639676817,1.41167756699069,1.41318345678421,1.40702070099027,1.39620972607305,1.39232953534258,1.39012608887288,1.38547382576384,1.39004437884962,1.39691261570755,1.39754984777734,1.39680351066388,1.39757815006991,1.39683793870029,1.40293295406924,1.39772265294868,1.39920872155831,1.40388658055953,1.40180429248022,1.40352567025896,1.40523698692679,1.40099419956875,1.40094463613982,1.4110356218935,1.40546285112492,1.40738972528142,1.41212923794397,1.40843915339681,1.40584127825566,1.40270498144288,1.39580737116316,1.38615124463964,1.38571629231706,1.38857507578424,1.37843964722305,1.38444981082625,1.38215192395238,1.38797422731829,1.38483877406861,1.38684961986198,1.39073449259838,1.39143034814342,1.39200504465683,1.39998283568264,1.40766676653146
lignitePrice-4,1.428,1.42721648106437,1.43245270684631,1.4378185841204,1.43074095054663,1.43670167353804,1.4381103584137,1.44841085324663,1.45021272780348,1.44654184255463,1.44339467188478,1.44164568275494,1.44158667405055,1.43704068484973,1.43302580543172,1.4306108872831,1.42000570098657,1.4237734643036,1.42758769294392,1.43085678185441,1.43512981513875,1.42655777485797,1.41657484328144,1.41120747904955,1.40380150839534,1.40677859491552,1.40373247138099,1.40817476316417,1.40784720707342,1.40470848009598,1.39966296314798,1.40854374348993,1.39602197673785,1.391103356474,1.37958253012487,1.38054978149228,1.37663882750947,1.38074409063522,1.37830731043049,1.37143388873262,1.3739507379068,1.37180544588465,1.37762665221082,1.3843799893345,1.38376537082815,1.38865210341527,1.37871020096459,1.38370978971456,1.39255821175138,1.38802384180606
lignitePrice-5,1.428,1.43704227414898,1.43183995892776,1.4369812935812,1.42995061776337,1.42971366860321,1.43685565177528,1.44575894861658,1.45593210911889,1.444383472639,1.43884315779269,1.42975198633333,1.4358134760801,1.43966457930069,1.44168925853386,1.44187704254545,1.44385132237768,1.44103373399303,1.44520596000163,1.45434460346162,1.45966537795693,1.46603932600327,1.46845564637067,1.46567478230584,1.4647333999678,1.46998996391754,1.45792368682785,1.45633758267877,1.45530061567187,1.45425532728306,1.45734153399016,1.45814906605055,1.45254367694789,1.45224744510709,1.45778431734763,1.45164614075878,1.43829013515969,1.44297593062756,1.43515983831654,1.43011224441894,1.4329186351585,1.43348979217498,1.42729228560692,1.42088131831675,1.4143105696693,1.40509150194029,1.40624658743733,1.41123978547141,1.41745131945591,1.41597414558183
lignitePrice-6,1.428,1.42481545765611,1.41350080975081,1.40582863684396,1.40616062353703,1.41090288210059,1.40423838234815,1.40804296327103,1.41445620030717,1.41440058566806,1.41538656742593,1.41229247923452,1.40971515038284,1.41677986831823,1.4115009747552,1.41231019139641,1.41215274443139,1.41676693564315,1.4168264448464,1.42428703706545,1.42913015416221,1.42742879833284,1.4259326983889,1.42836935568893,1.43460430988043,1.43769624286943,1.44331482277177,1.4479995923162,1.45066403564665,1.45890070875285,1.4509393506034,1.45375756502124,1.46142295037593,1.4561529449671,1.45758834203514,1.45976318901946,1.47110855265126,1.46636599919757,1.47162620407342,1.46256613657718,1.46376929443108,1.46664755065248,1.46601977693579,1.4608188633117,1.45267204512216,1.44207741915038,1.44293069189213,1.44826580062176,1.43941092660264,1.44253774801602
lignitePrice-7,1.428,1.43847414555452,1.43973035514391,1.44281221641483,1.43711164933586,1.44651714905304,1.44202592189539,1.42845025196624,1.41695652772535,1.41713045063148,1.41030802885548,1.40969496117004,1.40317613203359,1.39929567395834,1.39130567684067,1.39238846362115,1.38575175298523,1.39004136710714,1.38599812835637,1.38939027745919,1.38839644989239,1.3860034868845,1.39467730240706,1.38976048850852,1.39178661437886,1.39100265282601,1.39020212922086,1.38925463865868,1.38153025677177,1.38191127545382,1.38422683534341,1.38304959922465,1.37204169029143,1.38031046685297,1.37865236703762,1.3806880509289,1.36942419879464,1.37237958156654,1.36228056524893,1.35583509352527,1.35762472339898,1.36447325707632,1.35791578964484,1.35631351324807,1.35787903015798,1.34846623351371,1.35389358738967,1.35450719067536,1.3606468354846,1.3530580442938
lignitePrice-8,1.428,1.41611290263348,1.4065814356999,1.41329333642178,1.41828432347109,1.41999858809381,1.41340271784931,1.40925123860724,1.41473787110058,1.41211610290061,1.40373352115725,1.40403524303479,1.40586172471029,1.40840597578883,1.39874566848099,1.40366859346162,1.40844379859478,1.41652283512547,1.42172825130562,1.43160093430676,1.42005625687246,1.41417036935039,1.41156693470321,1.41472845652568,1.40351067908778,1.40554186760462,1.40579347770811,1.40010267093701,1.40757582243453,1.41147435750254,1.40098578734869,1.3974719783336,1.38845029039316,1.38421446744521,1.3829657411108,1.38427806490121,1.38581883250065,1.3870554466055,1.38765279251975,1.39268288934456,1.38259379173492,1.38329998974152,1.3761824260384,1.38702102932352,1.3795049060772,1.37482126703437,1.38280003165788,1.39324220159037,1.40069489373882,1.40413222063415
lignitePrice-9,1.428,1.43502337294921,1.43297483469158,1.44077649985829,1.44264677619964,1.44026169601975,1.43848517359826,1.4344230620454,1.4288040934129,1.42144302252588,1.42823236764357,1.43914355849089,1.44088976358757,1.44159789683699,1.43631698912097,1.43231012474281,1.4373206723723,1.4360851571861,1.43787419776575,1.44340767497011,1.44251845386919,1.44630058945814,1.45732041446304,1.46280156186565,1.46600888185374,1.47464651614957,1.47893343131746,1.4804856964998,1.47113680093385,1.46869955457568,1.46921768680767,1.47657545186833,1.48073595033503,1.47197101998925,1.47712235975366,1.4884947046491,1.48895896115259,1.47726444905463,1.46869650130506,1.47003575734249,1.47385149342217,1.47355740353845,1.4685857843405,1.47198050900034,1.48414407311162,1.4882893979731,1.49496641083386,1.49819448989353,1.50331106736899,1.50095691275069
lignitePrice-10,1.428,1.42175107888987,1.42250713985835,1.4225735740397,1.43155052906692,1.44405497286878,1.43914694465823,1.44141991855371,1.44168165237224,1.44647785218484,1.45524170183949,1.45022088530859,1.44579020630443,1.44705413081202,1.44033598652385,1.44456819301511,1.44496237755416,1.44045265594241,1.43165972098358,1.42471041319839,1.42424498542934,1.41578527106787,1.40765141986934,1.41546913875283,1.41398889150263,1.40367630738449,1.3993538934024,1.40903446058231,1.41340612704157,1.41204897717325,1.40322369125663,1.40040571799212,1.39908089700149,1.39842869587098,1.40096759490041,1.39141628049041,1.38319261295402,1.37406238554362,1.37655511685929,1.37505904988679,1.37764467715759,1.37341826724,1.36740156362322,1.37576197005659,1.37729292023774,1.36693993197908,1.35639627102513,1.35289020846131,1.35812594831417,1.36402535889182
