,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
uraniumPrice-1,1.29,1.29348081791924,1.29738671614811,1.30227906741414,1.31206909709943,1.31150623683824,1.30547604936882,1.3044275060497,1.31016260993172,1.29809932833676,1.30662808700921,1.30461549747538,1.29732486484791,1.29730635403469,1.29913449564137,1.29839561232505,1.29852234417592,1.30181538211562,1.3117528936531,1.30030437819995,1.29991920444888,1.29231480808219,1.29029477783476,1.29427406428009,1.28648914113327,1.28119166403637,1.28943949845526,1.28727909048617,1.29690574697539,1.29092120490128,1.28404864522483,1.27928277484468,1.28171801327953,1.27126386428267,1.2695413949287,1.26809502125527,1.26469319253399,1.26186797947601,1.26939269044822,1.2703833366037,1.27823228105399,1.2803020287983,1.28476086963127,1.29194550937021,1.30116612297801,1.29222800987443,1.29362927574206,1.29338647363022,1.29236828591598,1.2912457760438
uraniumPrice-2,1.29,1.28174668207566,1.28475630144509,1.28855703904574,1.28439111517938,1.28888384761252,1.29399981939846,1.29569592522946,1.28695775288223,1.28584886151593,1.29100352877041,1.29434493619575,1.30377075804895,1.29432110831469,1.29893449423012,1.29727537653536,1.30770025334613,1.30709964359679,1.30006327514655,1.29983506650993,1.30109785812045,1.29564687388547,1.29331068938726,1.29388757397432,1.28782476568508,1.29032676899039,1.29314713525549,1.29815142283648,1.29858055618323,1.30029407140516,1.30958426167893,1.31750762694507,1.31714930768688,1.3135210963336,1.30563583772018,1.31599960872541,1.32262197813006,1.32633982676063,1.32668774248065,1.33547187929972,1.3422401002358,1.3398951660829,1.33483426416624,1.32602515868776,1.32875334844731,1.32304113259024,1.32337803905129,1.33262187857273,1.33867968624506,1.34459760721896
uraniumPrice-3,1.29,1.2910077177074,1.28906701782449,1.2808762274611,1.27321154853893,1.27421812756832,1.27918448281144,1.28360213929329,1.27291446786438,1.26690883946786,1.27594732069363,1.26774663210769,1.26863469562716,1.26856425723547,1.27188649408799,1.27809163810362,1.26694310474715,1.27156366158442,1.26687562717735,1.26915051415979,1.27096702639494,1.27105481957903,1.26473402328556,1.26566040711575,1.26218602878687,1.26073786525952,1.25833343916676,1.25991393255447,1.2573032570269,1.26182794454938,1.27225118813522,1.27483118516013,1.26835433329551,1.26775264373122,1.27756209072147,1.27109850852985,1.27837668346826,1.27437496797456,1.27666738750052,1.28002293485999,1.28627799090736,1.29027583188974,1.28947249240261,1.29026375212428,1.28619939815032,1.2898262008654,1.29228542820269,1.29509594163193,1.29390957008206,1.29481945015242
uraniumPrice-4,1.29,1.29614853205511,1.29564706038109,1.28611458550899,1.27856814811643,1.28002134773563,1.27270722808133,1.26337781021484,1.26562346853396,1.26783019368593,1.27534200029157,1.2796504011959,1.28191703507679,1.28775437184806,1.27880140461135,1.27464797068448,1.28120351943236,1.28787844974619,1.28878419068071,1.28275178298191,1.28757569437352,1.28347450384736,1.28369090919674,1.28595647724441,1.28813024604674,1.289578552782,1.28543528668999,1.2841306134436,1.28649758093772,1.28975963699563,1.28736426527697,1.28726461237873,1.27934492721676,1.27710242994181,1.28426120394262,1.28879720652889,1.28454989505384,1.28598873367412,1.28259850603867,1.28387956600799,1.28466040854077,1.28894443022493,1.29524495918377,1.30418792463166,1.29782714435192,1.29870387861468,1.29182669488152,1.29062701506765,1.29468855995532,1.28627850365109
uraniumPrice-5,1.29,1.2941623797461,1.29083981991124,1.28864889003199,1.27831516589241,1.27686983558166,1.27705297030796,1.26580902478213,1.25899644101483,1.26798274358685,1.26072579713167,1.26202316465802,1.26428392087147,1.25886879439211,1.26443033440159,1.26781250333498,1.26600634610848,1.26211496700155,1.26885588724035,1.2724205796497,1.26239225294238,1.27124710462109,1.27223831337845,1.27616650578681,1.26806732552353,1.26606574819866,1.26082428792534,1.25317095355274,1.2617293738151,1.25971349795494,1.26052159669227,1.26662483386897,1.26927610120498,1.26745149540898,1.25965729072575,1.25057770071513,1.25084346758774,1.25379668067428,1.25259030040011,1.24857403946095,1.24299671150812,1.24624038931029,1.23743731222752,1.23729817430761,1.24432338215786,1.24115420157243,1.23515024946325,1.23159075668523,1.225290622735,1.22572618450031
uraniumPrice-6,1.29,1.28997705958472,1.29654525089629,1.29985717905657,1.29691196832797,1.30312512829346,1.29943877018702,1.30437557108529,1.30218010543887,1.29920620949628,1.29941055152047,1.30218052081554,1.3027674708244,1.30806445106821,1.29997540836905,1.30129407526418,1.3055516130704,1.30424027798242,1.30564618707202,1.31197561472241,1.31245712037541,1.30612337378356,1.30659470765751,1.30380117425082,1.30435449989198,1.30394687222616,1.30717085638383,1.30968076837869,1.31244427043093,1.31520944951004,1.31914624702788,1.31411938031663,1.32499006784861,1.33099814477742,1.32982912724132,1.32871948567594,1.33024351215587,1.3296167192447,1.33066430379685,1.33407241580486,1.32281295937865,1.32302829995347,1.32026027267548,1.3255229571042,1.32433815883009,1.31583342279395,1.31418420089714,1.32027164708546,1.32523731490097,1.31792314629688
uraniumPrice-7,1.29,1.28710425099078,1.29564408465198,1.29623219186505,1.2939199594285,1.29314034725255,1.30439810538596,1.30299739939982,1.29934465794164,1.2972535001762,1.29917751030258,1.29046848793269,1.30074958149761,1.30546858875044,1.30546633834918,1.2932806175534,1.29329813333491,1.29403985332543,1.3015847533866,1.30589207600204,1.30165094679026,1.30199605406445,1.29918791235526,1.29986332417119,1.30509577102307,1.29959442320085,1.2990859849135,1.29638622947453,1.28951854503386,1.28610739053187,1.28358816395185,1.28193994401154,1.28080918738206,1.27034594099388,1.26934168105716,1.27152032999905,1.26764559225344,1.27757264614803,1.27143375729221,1.27428559566274,1.28398543453164,1.28228652123428,1.28181531185247,1.28885367393598,1.29096318871761,1.28574188248277,1.28033055643492,1.28830705973714,1.28168505662015,1.29293588930056
uraniumPrice-8,1.29,1.29134266388119,1.28111667999934,1.28338759665275,1.28926680074507,1.28548754009118,1.28836418246528,1.27967329641462,1.29112244868379,1.29836398597497,1.28983925110727,1.288571143576,1.28804183902094,1.28448699243281,1.28423061129574,1.29353301825217,1.29195003706496,1.29360864301237,1.29551532586872,1.30385826173916,1.30224545339276,1.29274696100987,1.28977341841895,1.29741738650575,1.2987019474355,1.30126492312769,1.29073735519409,1.29317305669575,1.28916078375203,1.28483864391251,1.28121118130955,1.29131952490355,1.28566097407554,1.28563360135327,1.29027162916069,1.28392582865624,1.27811237207121,1.28098214690007,1.27634084583653,1.27653987795612,1.27343295209203,1.27587340311755,1.27139930452034,1.26650866997578,1.27326366610018,1.26238943475022,1.26913291936263,1.26901397047619,1.2734627613404,1.26849549399878
uraniumPrice-9,1.29,1.28622368393477,1.28489293914913,1.28610083610893,1.27816719103298,1.27924484607769,1.2899494466439,1.29905504618063,1.29931914156759,1.30262733827791,1.30295488830581,1.30013710352116,1.30170235422783,1.30414307937787,1.30449843388196,1.31312097905221,1.31618309583266,1.32190526733262,1.32069121245363,1.32127795642668,1.31377267601529,1.31371257008323,1.3076998669392,1.30414517882585,1.30264594635803,1.31479527172477,1.31630084748396,1.31864246433397,1.31416979949614,1.3103729612713,1.31565548404687,1.30613586748854,1.29866993200653,1.29599286522141,1.288441809971,1.28791284824346,1.28647331934875,1.29316810153584,1.29093496750708,1.2935776312912,1.29282705814366,1.2884625182071,1.28390934400246,1.28459777998087,1.28912048315828,1.28568403666174,1.28038435340728,1.2854886541234,1.28843866262753,1.29109975703995
uraniumPrice-10,1.29,1.29459874460757,1.29509726240342,1.28849420857857,1.28646294544971,1.2847287376625,1.28116084726935,1.28675766360755,1.28739459057331,1.29051815141522,1.28700332652504,1.295670071526,1.29162330268071,1.28816744972192,1.28811194608586,1.2958238433542,1.28850439445836,1.2927685560223,1.289011740291,1.28687576782495,1.28606447307269,1.28395487158517,1.28671028154614,1.28445518218162,1.28391384042438,1.27646308821115,1.27423157827792,1.27681348453988,1.27869122058149,1.28016524545053,1.28366982999242,1.2797919301747,1.27413298722846,1.27704027194759,1.27058361878416,1.26856440165131,1.26388700056104,1.26340624069264,1.25932489413169,1.2544730206262,1.25538701746371,1.26179442410413,1.26028044402313,1.25951779529373,1.26300679228154,1.26679677257154,1.26551066737564,1.26400183067045,1.26233634681904,1.25924861809801
uraniumPrice-11,1.29,1.28991123029907,1.28942446716855,1.28980398428814,1.29900778641892,1.29404448502081,1.29485037399579,1.29626453738198,1.29864374398441,1.29698299376328,1.29148358179209,1.2847000047792,1.28378580096823,1.27851670000968,1.2847446216265,1.28926239976919,1.29290557053087,1.30270993129349,1.29439058250231,1.30097100230983,1.29659835363344,1.28784656264644,1.29878145570333,1.30063714570417,1.28933156767398,1.28057134899257,1.28078605471364,1.27738161605478,1.26875249912105,1.28014283977941,1.28265675215965,1.27719816521189,1.27485568916837,1.27762728479472,1.28133784846107,1.28598850518916,1.28888100030209,1.29027861256312,1.29046424616652,1.28811583346227,1.27987275140058,1.28022558710561,1.27520874506626,1.26779575060994,1.26551967397504,1.2598335870039,1.26390386829492,1.25436730295816,1.2589773330601,1.2642061238987
uraniumPrice-12,1.29,1.2897551381267,1.29648014958185,1.29818823363263,1.29643307884846,1.30092752265956,1.30356368166247,1.30589528448746,1.3105368069764,1.31154994182023,1.31248837915279,1.31389261238216,1.32135452343088,1.32724721022729,1.32303283443865,1.3325545504282,1.3236492842361,1.31786661022293,1.30708009991065,1.30002377739659,1.30566512364614,1.29883252038907,1.30212564168586,1.31027085362181,1.30821868592481,1.30506328046868,1.30930413156266,1.29980394842642,1.29510902942938,1.29688787302857,1.28859588200396,1.28420996694587,1.27920494455949,1.28318349845629,1.28357204588554,1.28665692691103,1.28083945355731,1.287666273727,1.29122123460501,1.28351563734553,1.29485896887499,1.29190513470624,1.29727805270884,1.30285210535615,1.30075885452954,1.29183295789125,1.30140016081414,1.29849860038774,1.29628698137171,1.29787113454996
uraniumPrice-13,1.29,1.28205442155913,1.27255583062575,1.26323790596689,1.25516686284731,1.24667894340918,1.24612477849711,1.23493120366609,1.23593987361319,1.23364241208775,1.22499719288641,1.21868611597381,1.21721716756603,1.22310791399674,1.22904252594845,1.22398979845328,1.23057416159842,1.2391811069413,1.23807007882957,1.23399068870384,1.22823199289209,1.22815825029527,1.23712638320265,1.23100443840901,1.23214040926449,1.22237973643247,1.23125884813162,1.2389422189274,1.2357372713469,1.2385405789123,1.23812220634408,1.24288773774958,1.24667545402971,1.24302406438952,1.25073897203389,1.25032045753098,1.25808480761492,1.26401830688445,1.25677888388777,1.26053121257108,1.26860677321961,1.2690172141643,1.27322124482999,1.27036312252114,1.26819533925701,1.26944981374556,1.26678086147454,1.26688091928875,1.2689350762846,1.27346989363956
uraniumPrice-14,1.29,1.28771343281193,1.29023328975213,1.29071892011951,1.29324905105774,1.29064257205701,1.28576425028406,1.27785523960893,1.27633618319411,1.27774439105086,1.2796221415509,1.28772647211491,1.29694777630835,1.29446013842514,1.28891242426717,1.29696920452795,1.29105388432299,1.30275616108535,1.29472677677549,1.28583127771187,1.28215342735385,1.2926562928285,1.29471535361398,1.29486429408361,1.28838397980306,1.28529650560855,1.28523819623351,1.27621513883003,1.26936008895081,1.25944824366694,1.26584219653301,1.27275274378096,1.27692032864172,1.27650138821039,1.2805822104932,1.29160155092371,1.29247095654064,1.30008985216702,1.30359518741217,1.29284920521236,1.29119445983142,1.28621515095574,1.28381786794377,1.28971517570811,1.27979614289827,1.27823795366093,1.2755363635867,1.27526658060859,1.27812316295751,1.2729196257921
uraniumPrice-15,1.29,1.28825901330276,1.28689960643092,1.28763427493083,1.29681872308466,1.30379107155528,1.29916891389986,1.30676700069914,1.30754072097683,1.31146898495818,1.3127256487691,1.32049296745329,1.32196343868547,1.32723087264904,1.32884390403964,1.32497741503001,1.31935015977999,1.32146072159451,1.32151798341233,1.32772055014922,1.33945967902221,1.34151931711458,1.33499623144233,1.33898001672183,1.34831350666333,1.3546534969523,1.35991558384526,1.3638389439314,1.36771746034759,1.36150966014959,1.35497060410618,1.35464735203858,1.34708109556761,1.34173368085903,1.33777616934426,1.33398088378776,1.33964598098544,1.33680176487419,1.32857396413781,1.32711414916115,1.3275812014106,1.33110232063652,1.32003005420354,1.3226052916379,1.32413351786037,1.33121915466133,1.3225373461444,1.32151576221176,1.32371083224273,1.32406235340025
