"","Value"
"ConsumerCostsA","0e+00"
"AggProfitA","0e+00"
"ProducerCashA","0e+00"
"WelfareLossENSA","0e+00"
"ProducerRevenuesA","0e+00"
"ProducerCostsA","0e+00"
"GovernmentCostsA","0e+00"
"FixedOMCostsA","0"
"LoanCostsA","0"
"CommodityCostsA","0"
"DownpaymentsCostsA","0"
"ElectricityPriceA","0"
"ElectricityPriceA",NA
"SupplyRatioA","0"
"SupplyRatioA",NA
"TenderClearingPriceA","0"
"TenderClearingPriceB","0"
"ConsumerCostsB","0e+00"
"AggProfitB","0e+00"
"ProducerCashB","0e+00"
"WelfareLossENSB","0e+00"
"ProducerRevenuesB","0e+00"
"ProducerCostsB","0e+00"
"GovernmentCostsB","0e+00"
"FixedOMCostsB","0"
"LoanCostsB","0"
"CommodityCostsB","0"
"DownpaymentsCostsB","0"
"ElectricityPriceB","0"
"ElectricityPriceB",NA
"SupplyRatioB","0"
"SupplyRatioB",NA
"ElectricityPriceAElectricityPriceB","0"
"ConsumerCostsA","NA"
"ProducerCostsA","NA"
"GovernmentCostsA","NA"
"ConsumerCostsB","NA"
"ProducerCostsB","NA"
"GovernmentCostsB","NA"
"AggProfitA","NA"
"AggProfitB","NA"
"ProducerCashA","NA"
"ProducerCashB","NA"
"WelfareLossENSA","NA"
"WelfareLossENSB","NA"
"TenderClearingPriceA",NA
"TenderClearingPriceB",NA
