"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39"
"Nuclear",0.0321988540860402,0.0311891008156673,0.0285440947932252,0.0263541663581744,0.0240990634520392,0.0224668754791265,0.0215501966808403,0.0206402227919953,0.0195803791390418,0.0177542673666041,0.0159576824998035,0.0150852416493146,0.0148067989069615,0.0138806915916307,0.0133648442104938,0.0122733626446916,0.0116989607045063,0.0119513513634697,0.0110156684963327,0.0112304926583715,0.0118764700224495,0.0124327297389343,0.0118908366700232,0.0122933853414551,0.012338070054715,0.0113973561648909,0.0102857624423957,0.0106119002267927,0.0107190456724506,0.0108203170660372,0.0110723095689982,0.0114268049494184,0.0107800589450445,0.01050245851202,0.0100110348274788,0.00981794682182522,0.00933786780355469,0.00865373750142967,0.00850832512251181
"Lignite",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CoalPSC",0.249210164295735,0.244926687480622,0.221781544722998,0.203779448386578,0.187532877781362,0.170437476300063,0.167416288617521,0.165235811662012,0.163922792311556,0.161753438699286,0.17490080328489,0.17868800448328,0.181334299637668,0.183324716363181,0.185637737679242,0.190148122374815,0.192189718140308,0.190503663247418,0.186762838609712,0.184793397665044,0.181923413738373,0.177442067790991,0.171797730853376,0.163880159796477,0.15922075382166,0.1536603028432,0.147022034189116,0.144197389719028,0.137015254408635,0.129058198569088,0.124023874572969,0.115044329154727,0.106721594246525,0.100073670164647,0.0935108176289719,0.088126439789804,0.0825782866278523,0.0778606053724166,0.073382398122351
"IGCC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000513492970641057,0.00142457748536167,0.00358222758849232,0.00631773231697405,0.00715684368136699,0.00891819187142059,0.0095530632802063,0.0101898892893838,0.0107400289443115,0.0117361197273504,0.0119031260467632,0.0121044942973902,0.0123865556133134
"CCGT",0.405083916344301,0.398391356392441,0.358379427590368,0.327000543067314,0.297542948073085,0.268862546526852,0.253591186294072,0.241998052636262,0.230504154729385,0.219353776018107,0.206512083213947,0.195116830413279,0.185677213203958,0.176903856053856,0.166377595702958,0.156231621281588,0.144627211263694,0.132691461404571,0.122997501696877,0.112912878001438,0.104736203951029,0.0942000299325628,0.0855613595852553,0.0768242353726927,0.06961566715611,0.0636760849797215,0.0586477811525216,0.0537604905867263,0.0483020064302504,0.0437008202008672,0.0398444463709451,0.0356339813419042,0.0308811320371697,0.027215423779098,0.0258259576804916,0.0231170675270482,0.0219843792902197,0.0204548943716833,0.0185145103558371
"OCGT",0.163668821750001,0.160873713462243,0.142700045944351,0.129492322648916,0.117455396157446,0.105831570881431,0.100194221540076,0.0936197490320105,0.0887245862099361,0.0841238339233523,0.0783369317596569,0.0769703356763689,0.0741139543220616,0.070415816186769,0.0664631587316825,0.0638164909172449,0.0631778722817548,0.0652546885907169,0.0630979689612521,0.0639997051442905,0.0643262164784763,0.0638480198860001,0.0649114052772388,0.0677942738990156,0.0695299898987344,0.0705665383492257,0.0702858030949519,0.0716205995078277,0.0699569259504829,0.0662408693752005,0.0660276732086818,0.063476705687706,0.0612699677289206,0.0619003487582062,0.0614983843577273,0.0613125043592015,0.0608771162304743,0.0580100679056567,0.0570985618668558
"Biomass",0.0161026580726374,0.0158575827723562,0.0140189388546016,0.0130823089524685,0.0196624925412397,0.0205218450020842,0.0206588813901116,0.0217348516697599,0.0212152374002399,0.0227275053657175,0.0222014367836116,0.0220855490995947,0.0216979955009775,0.0215742683370619,0.0214082385335885,0.0211246639601252,0.0208347303128187,0.0221054879974735,0.0219406103012998,0.0208886860077025,0.0200145002831666,0.0194146712285078,0.0189318060772673,0.0185303176618051,0.017800671288697,0.0171060594295869,0.016867925869826,0.0170728950337008,0.0169063678016854,0.0167833902371992,0.0167537815216422,0.0166450722331183,0.0168928468794966,0.0163915059666158,0.0156883730080973,0.015994898694398,0.0155005874438541,0.0150259691706803,0.0143780714669783
"Biogas",0,0,0,0,0.00258033148450727,0.0057742467858305,0.00709993916866882,0.00986763385417978,0.0116344381755818,0.0140977287879119,0.0158391452422736,0.0164998305137101,0.0171428198286311,0.0179234380301417,0.0193833812216071,0.0195862629353536,0.0210066722429996,0.020959713109118,0.0204728037564921,0.0208445228638588,0.0201701913297074,0.0197973055397198,0.0187722108334634,0.0180916116234996,0.0170715672631409,0.0162374568856665,0.0151600090264303,0.0145044076338983,0.0137800159852185,0.013043303421511,0.0130258576310316,0.0122534608124825,0.0115590367149929,0.0113872815050499,0.010074114696235,0.00857400497835722,0.00768364966926143,0.006897154606326,0.0061804273364715
"Wind",0.0804211854516741,0.079591697250198,0.159164771936581,0.218759966079345,0.263923378245599,0.316840882859249,0.330472605382434,0.336391282440077,0.345463947193928,0.350753964854473,0.34800530665241,0.34666423635776,0.345887409557362,0.346993593771699,0.346727711500648,0.343205158006753,0.33816896871551,0.333250439173828,0.32732228250212,0.322029491729096,0.316095866070764,0.306597529463034,0.293473971307759,0.281502743245471,0.268197643340514,0.255799677900224,0.245987638522374,0.20734348734141,0.175286350080531,0.148601340235113,0.116390498125301,0.104462101550695,0.0940991044725018,0.0862531714167705,0.0776347944079029,0.0698001598592242,0.0642200624009873,0.0600309285523517,0.0569587235121466
"WindOffshore",0.0197932071458763,0.0193016966639106,0.0167021353407134,0.0152293168427929,0.0137760870148548,0.0127987229047714,0.0135342209549482,0.0127498567989549,0.0125984970943729,0.0124600107210544,0.0123141425985847,0.0127374736545745,0.0126777252425367,0.0131258687364832,0.0122819813381811,0.011893861459529,0.0120079953884744,0.012244630366666,0.0126512269768261,0.0139597025987176,0.0145777260997556,0.0149881697728032,0.0165606249401144,0.0170345532848145,0.0167627246525819,0.0174110285900534,0.0175581037928551,0.0177997768891616,0.017535166341621,0.0201030247953047,0.0218983813766042,0.0250213854271078,0.0291658553189205,0.0313655658211299,0.0333015754315253,0.0354409927134229,0.0380542846082934,0.0399435032293991,0.0419162793495996
"PV",0.0335211928537344,0.0498681651625623,0.0587090408171626,0.066301927664411,0.0734274252498673,0.0764658332605931,0.0854824599713278,0.0977625391147484,0.106355967745959,0.116975474263494,0.125932467964822,0.136152498152117,0.146661783799844,0.155857750929178,0.1683553510816,0.1817204564199,0.196287870949934,0.211038564746739,0.233739098699089,0.249341123331482,0.266279412026279,0.291279476647447,0.318100054455503,0.34404871977477,0.369462912523847,0.394145494857431,0.417671448938889,0.461664475576093,0.506916639740634,0.545331003782705,0.58380633394246,0.60711796697142,0.629077340376222,0.644720684787079,0.661714919017258,0.676079865529368,0.68786063987874,0.701018644992666,0.710676147253935
