"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39"
"Nuclear",0.0645951392549828,0.0644139597060019,0.0626037900236606,0.0584993496327311,0.0560025888262385,0.0537575869839413,0.0521965719612089,0.0508553142148789,0.0495126333124624,0.0469667345080759,0.0437327017426051,0.0414653766020091,0.0391215771311784,0.0367623136400482,0.034569770530002,0.0324148501110352,0.0308738697065508,0.0287719099730358,0.0272346408039524,0.0255625892489674,0.0237267918322056,0.0221445662645446,0.0201627876335774,0.0190947033879204,0.0185986004380816,0.0172178978067176,0.0161731577315485,0.014762568900079,0.0148978973265843,0.0147413628149902,0.01482041786876,0.0142407182731499,0.013426642177056,0.0132492610812039,0.0135740126376016,0.0133381240548717,0.0132495566567507,0.0132225152750813,0.0137656709798911
"Lignite",0.125946816442545,0.126159800854242,0.124631744985486,0.117617918008023,0.112487347951999,0.108648340232368,0.106258986698645,0.104386699689227,0.101834044861029,0.0972444806444854,0.0914859868239684,0.0872251335841254,0.0824966016977568,0.0780842752820654,0.0741121213270244,0.0695011680616894,0.0649677847987743,0.060447211963738,0.0564065151681257,0.0530609250856683,0.0500041082788598,0.0461320987136992,0.042642264220487,0.0398545646157723,0.0375270821648767,0.0348078457357636,0.0321752977521647,0.0294061945979625,0.0275810151834126,0.025786912091272,0.0238010244525094,0.0218746434127615,0.0202442817270389,0.0182556030956062,0.0168660807415399,0.0154406202201881,0.0141961610029072,0.0131829123713526,0.0120271555171677
"CoalPSC",0.15345580255501,0.15358497646774,0.151210039910615,0.143295617476391,0.137006142089199,0.132470657551374,0.130937992148641,0.133669605058024,0.131576127112078,0.14953377419498,0.161593304824526,0.165244144607054,0.163898595628229,0.16096522194084,0.160856452287646,0.160557466041271,0.158752522604092,0.156764062908667,0.152949006359041,0.150408913804041,0.148523482658768,0.145821986410649,0.143720957439486,0.141815170191374,0.138973086932174,0.136159476253494,0.133885568946536,0.131754250408451,0.132947233980331,0.12842693777159,0.123905015505388,0.120443149015237,0.118025883578188,0.114516294062775,0.113773759141873,0.110911138401087,0.108245114816928,0.106807781279323,0.104335275095695
"IGCC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000212429409764414,0.000491700169110192,0.000485638534250827,0.0015014460620811,0.00282931007420447,0.00403502208560384,0.00490522743448373,0.00543579364978413,0.00852619977691333,0.00999465193843675,0.0113438779196813,0.0133811884521776,0.0151141305806135,0.0173623107137157,0.0198248781937845,0.0218026044328129
"CCGT",0.0894821780770967,0.0892695148779781,0.0877864490419354,0.0817806138656346,0.0776120350709123,0.0751774133085943,0.0736340108912959,0.0712528075620076,0.0716438809132099,0.0681566099894859,0.0646472616482398,0.0615964511901364,0.0592625167287492,0.0574631673242288,0.0561467565592811,0.0550704335391054,0.0534503767089505,0.0505627229012089,0.0495969148387061,0.0485829858631476,0.0474511551860439,0.0467094963821788,0.0460059035346255,0.0458063364548411,0.0470476189555021,0.0475130826800295,0.0468058435404068,0.0455278358301435,0.0452152560569854,0.0446024611482848,0.0436175026551923,0.0438652420056154,0.0437901649103114,0.0433907735356558,0.0438468914685981,0.0428935897177471,0.0434096846927934,0.0434332828095913,0.0430632969604865
"OCGT",0.0710188715330393,0.0711655753652585,0.0964819156804806,0.0929070597763477,0.120298731761109,0.123601059399521,0.127013171608258,0.127559280478623,0.125954455234854,0.12291712001933,0.122270614225634,0.124113879655513,0.125147336026546,0.125739099458208,0.122548330757407,0.120458258777544,0.120662276169547,0.118304694892148,0.115648488217524,0.112932138963264,0.110151110728532,0.109623710509462,0.108349057675136,0.108040286510145,0.105487716551233,0.10372409797996,0.103336532468386,0.1046405919906,0.112097037504934,0.117029761391745,0.116740149046823,0.121020687037971,0.109762974874526,0.107196189393457,0.0955349695751206,0.0922383674350662,0.0908503648609882,0.0925818532176935,0.09307515908335
"Biomass",0.0504323598199303,0.0504529131433218,0.0489035541567669,0.0457768901930759,0.0438439908989592,0.0422555372940395,0.0411641525991502,0.0400932500164737,0.0390147465839159,0.0389137494344969,0.0378659007434819,0.0370675184743407,0.0359293595402409,0.0348481011375584,0.0346817667635897,0.0359603564652417,0.0349833287781625,0.0346298665393499,0.034064806557001,0.033013264281508,0.0332043072888045,0.0370162675935042,0.0399281619155701,0.0407824549333333,0.0429617563182281,0.0421342988339036,0.0431811663331061,0.0430975192580621,0.0457609448256018,0.0443128744416989,0.0456501176086491,0.0434366164067369,0.0442480051301197,0.0459290213136971,0.0503984169962534,0.0510545041664747,0.051496209501557,0.0504197141634393,0.0492741423668616
"Biogas",0,0,0,0,0.015246612320385,0.01659766156959,0.0196476826936851,0.0209207303623637,0.0214428496883982,0.0210517451458086,0.0204482978767904,0.0199827954668429,0.0194040570539808,0.0188980045728213,0.0182835770544788,0.0181285854532134,0.0174797742096924,0.0169392674773126,0.0163061412051805,0.0157847807872631,0.0152908023875388,0.0148855890268877,0.014777716228938,0.0143502424799786,0.0140363438110128,0.0136847793625761,0.0133040776049627,0.0127387415710069,0.0127294327593457,0.012364989511625,0.0121319886794317,0.0118322127288735,0.0116671627928137,0.0117081151611907,0.00513303965207165,0.004733047282061,0.00390378199383615,0.00432648466418536,0.00428700798612639
"Wind",0.209218771773394,0.209463765916195,0.202015405176012,0.186768686457684,0.173717443375703,0.163554129932551,0.156029978286441,0.147782030028958,0.140516826534341,0.131170313427182,0.12244221487079,0.119894221428449,0.119779485067313,0.123214608496139,0.124438156573823,0.12730482709323,0.129213766925647,0.132908087952833,0.137329574951166,0.138423624819696,0.144502031383713,0.146256269179304,0.150230852204839,0.14822584163754,0.149896464975175,0.150874442061653,0.154323335004825,0.15630362222215,0.16347574598574,0.163510529456324,0.164807218278866,0.16536883327352,0.169227176850711,0.16762975831151,0.168194863774442,0.169073098664053,0.166928028596401,0.16522132443972,0.163873185349889
"WindOffshore",0.0156723198883322,0.0156177377571443,0.0150571483797617,0.0793175083928414,0.0821944045078353,0.112356545161674,0.127752497690319,0.139759205040917,0.150666101523358,0.154128111667508,0.156576019864474,0.157461479005168,0.162227972644332,0.165388670680869,0.167100515714958,0.168438202022334,0.170126305681273,0.171952021288635,0.174835228398474,0.178635551169397,0.180956387061666,0.183142713381961,0.184309159650267,0.186654234972565,0.186230076708926,0.186872317153265,0.186042237092013,0.186904719718606,0.159382362435077,0.157860227649163,0.156651689951071,0.155118821813532,0.162463035689249,0.170729674568897,0.178357804241248,0.181936277601823,0.187567539680068,0.187099603664914,0.187897110847871
