"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39"
"Nuclear",0.142845021204795,0.133900528330925,0.112134715661189,0.101095586546641,0.088642166889218,0.0799935601893939,0.0735774377984964,0.0690561956921359,0.0633039278214476,0.0604441515350264,0.0541863612669491,0.0502303351688872,0.0484944163590679,0.0442703008558899,0.0426740551806934,0.0393856813670914,0.0372237654201879,0.0383061846786457,0.0355894333361498,0.0366017164138509,0.0386978391914117,0.0404600141530937,0.039215917053578,0.0411322116417647,0.0420722705828045,0.0392695648320598,0.0363879000162634,0.0379229773156965,0.0402854414182992,0.0409285231124838,0.0436001711227648,0.0458290891040769,0.0451239156926014,0.0452845378172512,0.0439571159312761,0.0430282408836218,0.0411256651879339,0.0385416652642687,0.0377761439736
"Lignite",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CoalPSC",0.637974818687244,0.635918386916042,0.571058479944796,0.506042112587889,0.475372943306815,0.429504318155853,0.421520552649854,0.414136445766337,0.41014076671997,0.404525222198027,0.432185779638276,0.440056852200233,0.442962045949585,0.447207914952959,0.449441295432199,0.45972962389871,0.465486233463484,0.462127575046894,0.45654701047199,0.451303137884539,0.444467985084046,0.438490054964474,0.432756660392237,0.423464753008102,0.419767586846646,0.414389372061268,0.403904482270916,0.405590452103312,0.402895687151291,0.387919457502611,0.382848226334154,0.36192667438189,0.341641322770349,0.324036817391354,0.307315887234507,0.293793325779623,0.277591089193964,0.265238862254724,0.254691111401886
"IGCC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00208641506691018,0.00524466814754084,0.0127254519998577,0.0233223528730544,0.02692527945841,0.0348478734004944,0.0386854882631026,0.042698681581451,0.0452037894403583,0.0490581510493175,0.0509275613043562,0.0520971936817333,0.0544123337508219
"CCGT",0.0358672082688125,0.0464090561710595,0.0612130818815208,0.06733378754856,0.0743476159337142,0.081580117602992,0.0948739113118398,0.105047545987631,0.114851208315097,0.0986333829306649,0.0768088226462875,0.0743723760718966,0.0765292387051014,0.0786612191664425,0.0755001447343432,0.0666068263685785,0.0616045091737368,0.057503957483031,0.0544887393235289,0.0527887269617651,0.0492692951175377,0.0443184494327649,0.0423905794589489,0.0404433955409266,0.037468998427892,0.0368154760189159,0.0352954338449585,0.0337894813527352,0.0343501737102224,0.0345190110801679,0.0357545520494647,0.032739241742662,0.0301899106853036,0.0277163085108882,0.0280006317658492,0.0263366413108156,0.0284237376726924,0.0283342780946225,0.0296885846538478
"OCGT",0,0,1.02546722062458e-05,3.17400686263183e-05,3.24182441975931e-06,4.797752405314e-06,5.55825119038177e-05,0.000176892211622362,0.000526137451538521,0.000558353804801983,0.000553731098239664,0.000881183233925433,0.00151264520836713,0.00208077375341966,0.00258542012034852,0.00260060570927958,0.00339111348279292,0.00467357656427736,0.00534220514849509,0.0066362721111812,0.00728951256514378,0.00825480090362869,0.00927928318457112,0.0109141089663069,0.011520207410662,0.0134109844060139,0.013076702647193,0.0133836167256817,0.0124228812680097,0.0108113503978236,0.0127009740899034,0.0114121073708312,0.0104899022982924,0.0114361103179543,0.0123403219171042,0.0137123844394341,0.0145331535911693,0.013721839986534,0.0150198364753274
"Biomass",0.00628221457806823,0.00716697781769799,0.00780050347314222,0.00761988821152111,0.0125585254970864,0.0154724736748599,0.0169272908596711,0.0187664521905187,0.0199669493050997,0.0167620176375305,0.0160332643519182,0.0162061798521804,0.0158862226490396,0.0163634050701622,0.0152222205610972,0.0135010556266939,0.0130392280895208,0.013565406241068,0.0140810475506056,0.0129668960107931,0.0121493083898866,0.0120799897614004,0.0116906050070112,0.0114263862038519,0.0107186045940505,0.0107166587379045,0.0103905254750581,0.010381047830561,0.0113615709010369,0.0105345874555227,0.0100409065473947,0.010173830964519,0.0109984551677097,0.00993420549950643,0.0104498535846355,0.0105841827702549,0.0104213648407512,0.0102594016557841,0.01008629457403
"Biogas",0,0,0,0,0.00122057747013165,0.00218454849799722,0.00306942429241179,0.00366261799652376,0.00482215735368286,0.00521404305739491,0.00675422597006719,0.0060137977165863,0.00587284076692541,0.00588670274700554,0.00568380822830683,0.00581951740168222,0.00632388992432179,0.00610486325476277,0.00654164348350435,0.00693623304329708,0.00706290341656645,0.00678370578376198,0.00621572692858899,0.00632124723262389,0.00653153701894392,0.00708682448934806,0.00656263104997787,0.00602423430654394,0.00578171470784995,0.00587226102637812,0.00640040404528904,0.0059921879943402,0.00543128567161877,0.00491844645624506,0.00456370525686889,0.00411316753814766,0.0037280300669153,0.0033819607009642,0.00321459335291431
"Wind",0.11497310310733,0.109595815066693,0.187241943172035,0.255713116726708,0.287783701108351,0.333845842906656,0.331494065786695,0.32842763611464,0.325089023741953,0.345642983261251,0.342331623135195,0.33754379724363,0.33109077824948,0.325638664829653,0.325423700891783,0.323674825168676,0.319293316008157,0.317822706304161,0.316006586452291,0.31248274970313,0.311069629472206,0.307040824565607,0.301432853062806,0.295675125322232,0.288899755028458,0.281745302641037,0.280985177397868,0.246211064126305,0.21242824327229,0.185710016707853,0.15029105512542,0.138848413354699,0.130335010825295,0.123118499461209,0.113823146531931,0.104801492015044,0.098366329540329,0.0933162625887933,0.0885583996337331
"WindOffshore",0.0324610847737235,0.0305317603337987,0.0240616111130523,0.0222163951695924,0.0191490399393581,0.0172441910741462,0.0167856621351939,0.0154268197021409,0.0145439130426216,0.0151591606835752,0.0147359021198484,0.0149452842251078,0.0144968772751568,0.0146058221443487,0.0137265121299613,0.013517496827884,0.0136482413859797,0.0139217742486353,0.0143667672741679,0.0155534687814739,0.0163291507053557,0.0167434071690792,0.0185447269790894,0.0194055484415746,0.0194755776649376,0.0201741805410558,0.0211371780567158,0.0225699272750891,0.0228505900887517,0.0267675410355706,0.0301760113388065,0.0344145347866684,0.0403704839871239,0.0448125583912747,0.0491018545635317,0.0534753327274991,0.0578750547373998,0.0615357886192872,0.0637682389235113
