"","Value"
"Mean Consumer welfare A","1.233971e+11"
"Mean Producer costs A","1.238033e+10"
"Government Costs A","2.895122e+10"
"Mean Consumer welfare B","6.341937e+11"
"Mean Producer costs B","4.705648e+10"
"Government Costs B","6.867594e+09"
"Mean Aggregate profit A","2.432109e+10"
"Mean Aggregate profit B","-2.725799e+09"
"Prod Cash A","1.021793e+12"
"Prod Cash B","3.377404e+11"
"sd Consumer welfare A","9.138237e+10"
"sd Producer costs A","5.65491e+09"
"sd Government Costs A","3.035275e+10"
"sd Consumer welfare B","4.313927e+11"
"sd Producer costs B","1.405585e+10"
"sd Government Costs B","2.589295e+09"
" sd Aggregate profit A","3.17869e+10"
"sd Aggregate profit B","2.896185e+09"
"sd Prod Cash A","3.39059e+11"
"sd Prod Cash B","2.766746e+10"
